"Diseases","DiseasesID","PMID","PMCID","Sentences"
"dryness","D014987",26733008,4679917," HAAL proved to be a rich source of microbes showing interesting adaptations to life in extreme settings (poly-extremophiles) such as alkalinity, high concentrations of arsenic and dissolved salts, intense dryness, large daily ambient thermal amplitude, and extreme solar radiation levels.;  However, these have been shown to be consistently extreme all along the whole Puna-Altiplano region, with values as high as a monthly mean UV Index above 19, UV erythemal daily doses above 10 kJ m−2, total solar irradiances close to the solar constant, daily total horizontal insolation of about 6.6 kW h m−2, intense dryness and large daily ambient thermal amplitude, together with the exposure to a multitude of chemicals and physical stresses, including alkalinity, high concentrations of arsenic and dissolved salts, and dust and ashes from volcanic activity."
"Alkaliphilic/Alkali-Tolerant Fungi","D006934 ",37367588,10301932,""
"Alkaliphilic and alkali-tolerant fungi","D006934",37367588,10301932," Alkaliphilic and alkali-tolerant fungi that resist alkaline pH are among these."
"toxicity","D064420",37317247,10223213," This review provides scientific information for a broader understanding of general dyes, their toxicity, and their harmful effects.;  Further, the high cost of these treatments limits their application, leading to increased ecotoxicity in the long term [5,6]. Hence, biodegradation has been evaluated as an efficient alternative approach that has attracted research attention because it overcomes the drawbacks of traditional techniques and is economical, eco-friendly, and sustainable.; The presence of color associated with dyes increases the chemical oxygen demand (COD), biological oxygen demand (BOD), total organic carbon (TOC), and suspended solids which reduce photosynthesis, promote toxicity of several intermediate amino acids, inhibit plant growth, and create recalcitrance and bioaccumulation [26,27,28]. Furthermore, the residuals of chemicals used during dye manufacture can evaporate and pollute the air.; Moreover, dyes ingested and accumulated in fish can become toxic intermediates for both fish and their predators including humans [29]. Traditional techniques and limited biodegradability lead to recalcitrance and bioaccumulation and may promote toxicity, mutagenicity, and carcinogenicity [6,30].; Different physicochemical methods have been used for dye removal from textile industry wastewater; however, they are costly, non-environmentally friendly, and cause immediate secondary toxicity."
"stress","D000079225",33643258,7902512," These organisms have developed several strategies to overcome environmental stress and nutrient limitations.;  Thus, they are among the best model organisms to study adaptive mechanisms that lead to stress tolerance.;  The biocompatible solute ectoine has potential use in respiratory medicine (Galinski et al., 1985) and can reduce cell stress effects in nanoparticle-induced lung inflammation by inhibiting the signals (Sydlik et al., 2009).; Xerophiles are microorganisms that can survive and grow in arid conditions with water activity aw < 0.75 by forming spores that help them mitigate environmental stress.; Radiophiles or radiation-resistant extremophiles thrive in high oxidative stress and radiation environments, including UV radiation, gamma radiation and X-ray radiation, and have potential applications in therapeutics pharmacology and biotechnology."
"Extremophilic microbial metabolism","D015163",37839067,10577106,""
"Toxicity","D064420 ",28737704,5532675,""
" paralytic","D007418 ",28737704,5532675," Cyanotoxins detected in these ecosystems include neurotoxins—anatoxin-a, anatoxin-a (S), paralytic shellfish toxins, β-methylaminopropionic acid, N-(2-aminoethyl) glycine and 2,4-diaminobutyric acid- and hepatotoxins –cylindrospermopsins, microcystins and nodularins—with microcystins being the most frequently reported.;  Cyanotoxins are a group of chemically diverse substances (e.g., alkaloids, cyclic peptides, non proteic amino acids) with documented adverse effects on humans, animals, plants and eukaryotic microbes [6]. According to their effects, cyanotoxins can be classified into hepatotoxins (e.g., the cyclic peptides microcystins -MCs- and nodularin –NOD-), neurotoxins (e.g., the alkaloids anatoxin-a, anatoxin-a (S), and paralytic shellfish toxins –PSTs- or saxitoxins) and cytotoxins/dermatotoxins (e.g., the alkaloids cylindrospermopsin –CYN- and lyngbyatoxin).;  Toxins: ATX, anatoxin-a; CYN, cylindrospermopsin; MC, microcystins; NOD, nodularin; PST: paralytic shellfish toxins."
"Extremophilic Oxidoreductases","D054882 ",34458243,8387880,""
" low toxicity","D009800 ",34458243,8387880," Compared to conventional chemical catalysts, the implementation of biocatalysis presents important benefits including higher selectivity, increased sustainability, reduction in operating costs and low toxicity, which translate into cleaner production processes, lower environmental impact as well as increasing the safety of the operating staff."
" extremophilic oxidoreductases","D054882",34458243,8387880," In this article we aim to review the properties and potential applications of five different types of extremophilic oxidoreductases: laccases, hydrogenases, glutamate dehydrogenases (GDHs), catalases and superoxide dismutases (SODs).;  Five different types of extremophilic oxidoreductases that have been thoroughly studied at Fundacion Biociencia are discussed below and some of their interesting biotechnological applications are also explored.; As already discussed, the versatility of applications, as well as their remarkable catalytic properties, make extremophilic oxidoreductases valuable and attractive biocatalysts with great biotechnological potential."
"halo-alkaliphilic microbes","D055882 ",37982082,10651602,""
" extremophilic conditions","D000071069",37982082,10651602,""
"dryness","D014987",36414646,9681764," Salt-in strategists, mainly represented by haloarchaea, significantly increased in relative abundance at sites characterized by extreme dryness, multiple wet/dry cycles, and colder conditions.;  With increasing dryness, BSCs become fragmented and patchy1, and many microorganisms find refuge on the underside of translucent rocks such as quartz (e.g. hypolithic communities).;  The latter is consistent with Robinson et al.4 showing that Cyanobacteria were more abundant in native halite nodules at the Yungay site than at the Salar Grande site and supports the notion that these photosynthetic microorganisms are generally well adapted to extreme dryness14.; Wet/dry cycling is a significant stressor for all organisms, even for desert organisms specialized to survive extreme dryness25,26."
" Alkaliphilic bacteria","C537702 ",26090360,4453477," Alkaliphilic bacteria are an important source of useful, stable enzymes and novel chemicals, including antimicrobials (Joshi et al., 2008; Fujinami and Fujisawa, 2010; Horikoshi, 2011; Sarethy et al., 2011; Ibrahim et al., 2012).;  Alkaliphilic bacteria such as B. pseudofirmus OF4 and thermoalkaliphilic C. thermarum TA2.A1 both have 13-subunits, near the upper end of the observed range (Meier et al., 2007; Matthies et al., 2009; Preiss et al., 2010)."
" alkaliphilic bacteria","C537702",26090360,4453477," Each of these facets of alkaliphilic bacteria will be discussed with a focus on extremely alkaliphilic Bacillus strains.;  These alkaliphilic bacteria have provided a cogent experimental system to probe adaptations that enable their growth and oxidative phosphorylation at high pH.;  Professor Koki Horikoshi, who has played a major role in developing interest in alkaliphilic bacteria and their capabilities, noted that only 16 papers on alkaliphilic bacteria had been published when he began his extensive studies of them in 1968 (Horikoshi, 1999).;  Interestingly, highly alkaliphilic bacteria, including some obligate alkaliphiles, have also been isolated from garden soils or other non-extremophilic settings.;  Alkaliphile enzymes from aerobic and anaerobic alkaliphilic bacteria tend, as expected, to have activity profiles that included higher pH values than displayed by mesophile enzymes.;  Another example involving participation of alkaliphilic bacterial cells in a reduction process is the Fe(III)-reducing bacterium “Alkaliphilus metalliredigens QYMF” which could have useful applications to metal-contaminated alkaline environments (Ye et al., 2004; Roh et al., 2007).;  However, findings that indicate early presence of alkaliphilic bacteria are emerging from studies of specific serpentinizing ecosystems, and will be described.; The central challenge for extremely alkaliphilic bacteria is the maintenance of a cytoplasmic pH that is significantly lower than the highly alkaline external milieu in which they grow.;  In addition to one or more Mrp cation/proton antiporters, alkaliphilic bacteria generally have a robust cohort of additional antiporters encoded by single genes (Takami et al., 2000; Janto et al., 2011)."
