PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,ABSTRACT
30796503,Genomics of Alkaliphiles,"Lebre PH, Cowan DA.",Adv Biochem Eng Biotechnol. 2020;172:135-155. doi: 10.1007/10_2018_83.,Lebre PH,Adv Biochem Eng Biotechnol,2020,2019/02/24,,,10.1007/10_2018_83,"1. Adv Biochem Eng Biotechnol. 2020;172:135-155. doi: 10.1007/10_2018_83.

Genomics of Alkaliphiles.

Lebre PH(1), Cowan DA(2).

Author information:
(1)Centre for Microbial Ecology and Genomics, Department of Biochemistry, 
Genetics and Microbiology, University of Pretoria, Pretoria, South Africa.
(2)Centre for Microbial Ecology and Genomics, Department of Biochemistry, 
Genetics and Microbiology, University of Pretoria, Pretoria, South Africa. 
don.cowan@up.ac.za.

Alkalinicity presents a challenge for life due to a ""reversed"" proton gradient 
that is unfavourable to many bioenergetic processes across the membranes of 
microorganisms. Despite this, many bacteria, archaea, and eukaryotes, 
collectively termed alkaliphiles, are adapted to life in alkaline ecosystems and 
are of great scientific and biotechnological interest due to their niche 
specialization and ability to produce highly stable enzymes. Advances in 
next-generation sequencing technologies have propelled not only the genomic 
characterization of many alkaliphilic microorganisms that have been isolated 
from nature alkaline sources but also our understanding of the functional 
relationships between different taxa in microbial communities living in these 
ecosystems. In this review, we discuss the genetics and molecular biology of 
alkaliphiles from an ""omics"" point of view, focusing on how metagenomics and 
transcriptomics have contributed to our understanding of these extremophiles. 
Graphical Abstract.

DOI: 10.1007/10_2018_83
PMID: 30796503 [Indexed for MEDLINE]"
37118007,Chemical approaches to cryopreservation,"Murray KA, Gibson MI.",Nat Rev Chem. 2022 Aug;6(8):579-593. doi: 10.1038/s41570-022-00407-4. Epub 2022 Jul 18.,Murray KA,Nat Rev Chem,2022,2023/04/28,,,10.1038/s41570-022-00407-4,"1. Nat Rev Chem. 2022 Aug;6(8):579-593. doi: 10.1038/s41570-022-00407-4. Epub
2022  Jul 18.

Chemical approaches to cryopreservation.

Murray KA(1), Gibson MI(2)(3).

Author information:
(1)Department of Chemistry, University of Warwick, Coventry, UK.
(2)Department of Chemistry, University of Warwick, Coventry, UK. 
m.i.gibson@warwick.ac.uk.
(3)Division of Biomedical Sciences, Warwick Medical School, University of 
Warwick, Coventry, UK. m.i.gibson@warwick.ac.uk.

Cryopreservation of cells and biologics underpins all biomedical research from 
routine sample storage to emerging cell-based therapies, as well as ensuring 
cell banks provide authenticated, stable and consistent cell products. This 
field began with the discovery and wide adoption of glycerol and dimethyl 
sulfoxide as cryoprotectants over 60 years ago, but these tools do not work for 
all cells and are not ideal for all workflows. In this Review, we highlight and 
critically review the approaches to discover, and apply, new chemical tools for 
cryopreservation. We summarize the key (and complex) damage pathways during 
cellular cryopreservation and how each can be addressed. Bio-inspired 
approaches, such as those based on extremophiles, are also discussed. We 
describe both small-molecule-based and macromolecular-based strategies, 
including ice binders, ice nucleators, ice nucleation inhibitors and emerging 
materials whose exact mechanism has yet to be understood. Finally, looking 
towards the future of the field, the application of bottom-up molecular 
modelling, library-based discovery approaches and materials science tools, which 
are set to transform cryopreservation strategies, are also included.

© 2022. Springer Nature Limited.

DOI: 10.1038/s41570-022-00407-4
PMID: 37118007 [Indexed for MEDLINE]"
15046570,Alkalithermophiles,"Wiegel J, Kevbrin VV.",Biochem Soc Trans. 2004 Apr;32(Pt 2):193-8. doi: 10.1042/bst0320193.,Wiegel J,Biochem Soc Trans,2004,2004/03/30,,,10.1042/bst0320193,"1. Biochem Soc Trans. 2004 Apr;32(Pt 2):193-8. doi: 10.1042/bst0320193.

Alkalithermophiles.

Wiegel J(1), Kevbrin VV.

Author information:
(1)Department of Microbiology, University of Georgia, Athens, GA 30602-2605, 
U.S.A. jwiegel@arches.uga.edu

Alkalithermophiles are an exciting subset of extremophilic organisms and 
represent extremophiles that are adapted to two extreme conditions, i.e. to a 
combination of alkaline and thermobiotic growth conditions. Among the anaerobic 
alkalithermophiles are representatives of both Bacteria and Archaea within a 
wide variety of physiological types and systematic groups, although a great 
majority belongs to the Firmicutes. Alkaliphiles have been isolated from a 
variety of niches including mesobiotic and neutrophilic soils and sediments. 
Interestingly anaerobic isolates from mesobiotic and neutrophilic niches exhibit 
shorter doubling times than isolates from thermobiotic niches; some anaerobic 
alkalithermophiles exhibit extremely fast growth rates, i.e. doubling times as 
short as 10 min. Their adaptation to both high pH and high temperature draws our 
attention not only because they are potential sources of industrially valuable 
enzymes but also because of their adaptive mechanisms to external environmental 
parameters. They could thus function as model organisms for extraterrestrial 
life in some environments and for theories on the origin of life. 
Alkalithermophiles, as far we know, do not represent the most thermophilic nor 
the most alkaliphilic of micro-organisms but represent the most alkaliphilic 
ones among the thermophiles and vice versa. We believe that the presently known 
species are only the tip of the iceberg and therefore that they do not represent 
the true boundaries under which life can thrive in respect to high temperature 
in alkaline environments.

DOI: 10.1042/bst0320193
PMID: 15046570 [Indexed for MEDLINE]"
33763123,"Comparative Metagenomic Analysis of Two Alkaline Hot Springs of Madhya Pradesh, India and Deciphering the Extremophiles for Industrial Enzymes","Choure K, Parsai S, Kotoky R, Srivastava A, Tilwari A, Rai PK, Sharma A, Pandey P.",Front Genet. 2021 Mar 8;12:643423. doi: 10.3389/fgene.2021.643423. eCollection 2021.,Choure K,Front Genet,2021,2021/03/25,PMC7982539,,10.3389/fgene.2021.643423,"1. Front Genet. 2021 Mar 8;12:643423. doi: 10.3389/fgene.2021.643423. eCollection
 2021.

Comparative Metagenomic Analysis of Two Alkaline Hot Springs of Madhya Pradesh, 
India and Deciphering the Extremophiles for Industrial Enzymes.

Choure K(1), Parsai S(1), Kotoky R(2), Srivastava A(1), Tilwari A(3), Rai PK(1), 
Sharma A(4), Pandey P(2).

Author information:
(1)Department of Biotechnology, AKS University, Satna, India.
(2)Department of Microbiology, Assam University, Silchar, India.
(3)Centre of Excellence in Biotechnology, Madhya Pradesh Council of Science and 
Technology, Bhopal, India.
(4)Amity Food and Agriculture Foundation, Amity University, Noida, India.

Hot springs are considered to be a unique environment with extremophiles, that 
are sources of industrially important enzymes, and other biotechnological 
products. The objective of this study was to undertake, analyze, and 
characterize the microbiome of two major hot springs located in the state of 
Madhya Pradesh explicitly, Chhoti Anhoni (Hotspring 1), and Badi Anhoni 
(Hotspring 2) to find out the inhabitant microbial population, and their 
functional characteristics. The taxonomic analysis of the microbiome of the hot 
springs revealed the phylum Proteobacteria was the most abundant taxa in both 
the hot-springs, however, its abundance in hot-spring 1 (~88%) was more than the 
hot-spring 2 (~52%). The phylum Bacteroides (~10-22%) was found to be the second 
most abundant group in the hot-springs followed by Spirocheates (~2-11%), 
Firmicutes (~6-8%), Chloroflexi (1-5%), etc. The functional analysis of the 
microbiome revealed different features related to several functions including 
metabolism of organics and degradation of xenobiotic compounds. The functional 
analysis showed that most of the attributes of the microbiome was related to 
metabolism, followed by cellular processes and environmental information 
processing functions. The functional annotation of the microbiomes at KEGG level 
3 annotated the sequences into 279 active features that showed variation in 
abundance between the hot spring samples, where hot-spring 1 was functionally 
more diverse. Interestingly, the abundance of functional genes from methanogenic 
bacteria, was higher in the hot-spring 2, which may be related to the relatively 
higher pH and temperature than Hotspring 1. The study showed the presence of 
different unassigned bacterial taxa with high abundance which indicates the 
potential of novel genera or phylotypes. Culturable isolates (28) were 
bio-prospected for industrially important enzymes including amylase, protease, 
lipase, gelatinase, pectinase, cellulase, lecithinase, and xylanase. Seven 
isolates (25%) had shown positive results for all the enzyme activities whereas 
23 isolates (82%) produced Protease, 27 isolates (96%) produced lipase, 27 
isolates produced amylase, 26 isolates (92%) produced cellulase, 19 isolates 
(67%) produced pectinase, 19 isolates (67%) could produce lecithinase, and 13 
isolates (46%) produced gelatinase. The seven isolates, positive for all the 
enzymes were analyzed further for quantitative analysis and identified through 
molecular characterization.

Copyright © 2021 Choure, Parsai, Kotoky, Srivastava, Tilwari, Rai, Sharma and 
Pandey.

DOI: 10.3389/fgene.2021.643423
PMCID: PMC7982539
PMID: 33763123

Conflict of interest statement: The authors declare that the research was 
conducted in the absence of any commercial or financial relationships that could 
be construed as a potential conflict of interest."
28007654,Archaeal phospholipids: Structural properties and biosynthesis,"Caforio A, Driessen AJM.",Biochim Biophys Acta Mol Cell Biol Lipids. 2017 Nov;1862(11):1325-1339. doi: 10.1016/j.bbalip.2016.12.006. Epub 2016 Dec 20.,Caforio A,Biochim Biophys Acta Mol Cell Biol Lipids,2017,2016/12/24,,,10.1016/j.bbalip.2016.12.006,"1. Biochim Biophys Acta Mol Cell Biol Lipids. 2017 Nov;1862(11):1325-1339. doi: 
10.1016/j.bbalip.2016.12.006. Epub 2016 Dec 20.

Archaeal phospholipids: Structural properties and biosynthesis.

Caforio A(1), Driessen AJM(2).

Author information:
(1)Department of Molecular Microbiology, Groningen Biomolecular Sciences and 
Biotechnology Institute, University of Groningen, Nijenborgh 7, 9747 AG, 
Groningen, The Netherlands; The Zernike Institute for Advanced Materials, 
University of Groningen, Nijenborgh 7, 9747 AG, Groningen, The Netherlands.
(2)Department of Molecular Microbiology, Groningen Biomolecular Sciences and 
Biotechnology Institute, University of Groningen, Nijenborgh 7, 9747 AG, 
Groningen, The Netherlands; The Zernike Institute for Advanced Materials, 
University of Groningen, Nijenborgh 7, 9747 AG, Groningen, The Netherlands. 
Electronic address: a.j.m.driessen@rug.nl.

Phospholipids are major components of the cellular membranes present in all 
living organisms. They typically form a lipid bilayer that embroiders the cell 
or cellular organelles, constitute a barrier for ions and small solutes and form 
a matrix that supports the function of membrane proteins. The chemical 
composition of the membrane phospholipids present in the two prokaryotic domains 
Archaea and Bacteria are vastly different. Archaeal lipids are composed of 
highly-methylated isoprenoid chains that are ether-linked to a 
glycerol-1-phosphate backbone while bacterial phospholipids consist of straight 
fatty acids bound by ester bonds to the enantiomeric glycerol-3-phosphate 
backbone. The chemical structure of the archaeal lipids and their compositional 
diversity ensures the required stability at extreme environmental conditions as 
many archaea thrive at such conditions including high or low temperature, high 
salinity and extreme acidic or alkaline pH values. However, not all archaea are 
extremophiles, and the presence of ether-linked phospholipids is a phylogenetic 
marker that distinguishes Archaea from other life forms. During the past decade, 
our understanding of the biosynthesis of archaeal lipids has progressed 
resulting in the characterization of the main biosynthetic steps of the pathway 
including the reconstitution of lipid biosynthesis in vitro. Here we describe 
the chemical and physical properties of archaeal lipids and membranes derived 
thereof, summarize the existing knowledge about the enzymology of the archaeal 
lipid biosynthetic pathway and discuss evolutionary theories associated with the 
""Lipid Divide"" that resulted in the differentiation of bacterial and archaeal 
organisms. This article is part of a Special Issue entitled: Bacterial Lipids 
edited by Russell E. Bishop.

Copyright © 2016 Elsevier B.V. All rights reserved.

DOI: 10.1016/j.bbalip.2016.12.006
PMID: 28007654 [Indexed for MEDLINE]"
29266533,Recent Advances in Halophilic Protozoa Research,"Harding T, Simpson AGB.",J Eukaryot Microbiol. 2018 Jul;65(4):556-570. doi: 10.1111/jeu.12495. Epub 2018 Feb 6.,Harding T,J Eukaryot Microbiol,2018,2017/12/22,,,10.1111/jeu.12495,"1. J Eukaryot Microbiol. 2018 Jul;65(4):556-570. doi: 10.1111/jeu.12495. Epub
2018  Feb 6.

Recent Advances in Halophilic Protozoa Research.

Harding T(1), Simpson AGB(2).

Author information:
(1)Department of Biochemistry and Molecular Biology, Centre for Comparative 
Genomics and Evolutionary Bioinformatics, Dalhousie University, Halifax, NS, B3H 
4R2, Canada.
(2)Department of Biology, and Centre for Comparative Genomics and Evolutionary 
Bioinformatics, Dalhousie University, Halifax, NS, B3H 4R2, Canada.

Most research on microorganisms adapted to hypersaline habitats has focused on 
Archaea and Bacteria, with microbial eukaryotes receiving much less attention. 
Over the past 15 yr, our knowledge of phagotrophic microbial eukaryotes, i.e. 
protozoa, from hypersaline habitats has greatly improved through combinations of 
microscopy, molecular phylogenetics, environmental sequencing, transcriptomics 
and growth experiments. High salinity waters from salterns, other landlocked 
water masses and deep hypersaline anoxic basins contain unique and diverse 
halophilic protozoan assemblages. These have the potential to exert substantial 
grazing pressure on prokaryotes and other eukaryotes. They represent many 
separate evolutionary lineages; species of Heterolobosea, Bicosoecida, and 
Ciliophora have been most intensively characterized, with several proven to be 
extreme (or borderline extreme) halophiles. Transcriptomic examinations of the 
bicosoecid Halocafeteria (and the heteroloboseid Pharyngomonas) indicate that 
high-salt adaptation is associated with a subtle shift in protein amino acid 
composition, and involves the differential expression of genes participating in 
ion homeostasis, signal transduction, stress management, and lipid remodeling. 
Instances of gene duplication and lateral transfer possibly conferring 
adaptation have been documented. Indirect evidence suggests that these protozoa 
use ""salt-out"" osmoadaptive strategies.

© 2017 The Author(s) Journal of Eukaryotic Microbiology © 2017 International 
Society of Protistologists.

DOI: 10.1111/jeu.12495
PMID: 29266533 [Indexed for MEDLINE]"
26780356,Wide pH range tolerance in extremophiles: towards understanding an important phenomenon for future biotechnology,"Dhakar K, Pandey A.",Appl Microbiol Biotechnol. 2016 Mar;100(6):2499-510. doi: 10.1007/s00253-016-7285-2. Epub 2016 Jan 16.,Dhakar K,Appl Microbiol Biotechnol,2016,2016/01/19,,,10.1007/s00253-016-7285-2,"1. Appl Microbiol Biotechnol. 2016 Mar;100(6):2499-510. doi: 
10.1007/s00253-016-7285-2. Epub 2016 Jan 16.

Wide pH range tolerance in extremophiles: towards understanding an important 
phenomenon for future biotechnology.

Dhakar K(1), Pandey A(2).

Author information:
(1)Biotechnological Applications, G. B. Pant Institute of Himalayan Environment 
and Development, Kosi-Katarmal, Almora, 263 643, Uttarakhand, India.
(2)Biotechnological Applications, G. B. Pant Institute of Himalayan Environment 
and Development, Kosi-Katarmal, Almora, 263 643, Uttarakhand, India. 
anita@gbpihed.nic.in.

Microorganisms that inhabit the extreme pH environments are classified as 
acidophiles and alkaliphiles. A number of studies emerged from extreme high (hot 
springs, hydrothermal vents) as well as low temperature (arctic and antarctic 
regions, sea water, ice shelf, marine sediments, cold deserts, glaciers, 
temperate forests, and plantations) environments have highlighted the occurrence 
of microorganisms (thermophiles/psychrophiles) with the ability to tolerate wide 
pH range, from acidic to alkaline (1.5-14.0 in some cases), under laboratory 
conditions. However, the sampling source (soil/sediment) of these microorganisms 
showed the pH to be neutral or slightly acidic/alkaline. The aim of the present 
review is to discuss the phenomenon of wide pH range tolerance possessed by 
these microorganisms as a hidden character in perspective of their habitats, 
possible mechanisms, phylogeny, ecological and biotechnological relevance, and 
future perspectives. It is believed that the genome is a probable reservoir of 
the hidden variations. The extremophiles have the ability to adapt against the 
environmental change that is probably through the expression/regulation of the 
specific genes that were already present in the genome. The phenomenon is likely 
to have broad implications in biotechnology, including both environmental (such 
as bioremediation, biodegradation, and biocontrol), and industrial applications 
(as a source of novel extremozymes and many other useful bioactive compounds 
with wide pH range tolerance).

DOI: 10.1007/s00253-016-7285-2
PMID: 26780356 [Indexed for MEDLINE]"
29290045,Abiostress resistance and cellulose degradation abilities of haloalkaliphilic fungi: applications for saline-alkaline remediation,"Wei Y, Zhang SH.",Extremophiles. 2018 Mar;22(2):155-164. doi: 10.1007/s00792-017-0986-3. Epub 2017 Dec 30.,Wei Y,Extremophiles,2018,2018/01/01,,,10.1007/s00792-017-0986-3,"1. Extremophiles. 2018 Mar;22(2):155-164. doi: 10.1007/s00792-017-0986-3. Epub
2017  Dec 30.

Abiostress resistance and cellulose degradation abilities of haloalkaliphilic 
fungi: applications for saline-alkaline remediation.

Wei Y(1), Zhang SH(2).

Author information:
(1)College of Plant Sciences, Jilin University, Changchun, 130062, People's 
Republic of China.
(2)College of Plant Sciences, Jilin University, Changchun, 130062, People's 
Republic of China. zhang_sh@jlu.edu.cn.

Soda saline-alkaline lands are significantly harmful to agriculture; thus, 
effective strategies to remediate such soil are urgently needed. Multiple 
negative factors exist in the community structure of saline-alkaline fields, 
among which the lack of fungal species diversity remains the most prominent 
problem. The haloalkaliphilic fungi are a unique group of extremophiles that 
grow optimally under conditions of extreme salinity and alkalinity; these fungi, 
which buffer salinity and alkalinity by absorbing and/or constraining salt ions, 
produce organic acids and/or macromolecules, secrete macromolecules such as 
cellulose degradation enzymes, and provide biomass that is beneficial for soil 
health. Considering that haloalkaliphilic fungi are a valuable genetic resource 
of resistance and degradation genes, these fungi are expected to be applied in 
biotechnology. Aspergillus glaucus exhibits high resistance to a variety of 
stressors and the ability to degrade crop straw; and it is a practical genetic 
tool that can be used to identify and validate genes involved in abiotic stress 
resistance and cellulose decomposition genes. This review will focus on the 
following aspects: isolation of extreme haloalkaliphilic fungi, fungal genes 
involved in salt and alkalinity resistance, macromolecule degrading enzymes, 
applications for genetic improvement of haloalkaliphilic fungi, and application 
of haloalkaliphilic fungi in saline-alkali soil mycoremediation.

DOI: 10.1007/s00792-017-0986-3
PMID: 29290045 [Indexed for MEDLINE]"
37490857,Extremophilic and extremotolerant fungi,"Gostinčar C, Stajich JE, Gunde-Cimerman N.",Curr Biol. 2023 Jul 24;33(14):R752-R756. doi: 10.1016/j.cub.2023.06.011.,Gostinčar C,Curr Biol,2023,2023/07/25,,,10.1016/j.cub.2023.06.011,"1. Curr Biol. 2023 Jul 24;33(14):R752-R756. doi: 10.1016/j.cub.2023.06.011.

Extremophilic and extremotolerant fungi.

Gostinčar C(1), Stajich JE(2), Gunde-Cimerman N(3).

Author information:
(1)Department of Biology, Biotechnical Faculty, University of Ljubljana, 1000 
Ljubljana, Slovenia. Electronic address: cene.gostincar@bf.uni-lj.si.
(2)Department of Microbiology and Plant Pathology, University of 
California-Riverside, Riverside, CA 92521, USA. Electronic address: 
jason.stajich@ucr.edu.
(3)Department of Biology, Biotechnical Faculty, University of Ljubljana, 1000 
Ljubljana, Slovenia. Electronic address: nina.gunde-cimerman@bf.uni-lj.si.

There are few places on Earth that are truly aseptic. Even environments that we 
may consider 'extreme', such as glaciers, deserts, or hypersaline bodies of 
water (Figure 1), can harbour life. The organisms that thrive in such 
environments - mostly microbes - are often referred to as 'extremophiles'. 
However, what constitutes extreme is in the eye of the beholder. Extremophilic 
organisms are so adapted to their environment that they perceive extreme 
conditions as optimal for their growth and can sometimes even be stressed by 
what we perceive as moderate. Stress is therefore not an optimal criterion for 
defining what is extreme. Instead, extreme conditions can be seen as those in 
which the majority of species cannot grow or even survive.

Copyright © 2023. Published by Elsevier Inc.

DOI: 10.1016/j.cub.2023.06.011
PMID: 37490857 [Indexed for MEDLINE]

Conflict of interest statement: Declaration of interests The authors declare no 
competing interests."
32323057,Nature and bioprospecting of haloalkaliphilics: a review,"Uma G, Babu MM, Prakash VSG, Nisha SJ, Citarasu T.",World J Microbiol Biotechnol. 2020 Apr 23;36(5):66. doi: 10.1007/s11274-020-02841-2.,Uma G,World J Microbiol Biotechnol,2020,2020/04/24,,,10.1007/s11274-020-02841-2,"1. World J Microbiol Biotechnol. 2020 Apr 23;36(5):66. doi: 
10.1007/s11274-020-02841-2.

Nature and bioprospecting of haloalkaliphilics: a review.

Uma G(1), Babu MM(1), Prakash VSG(1), Nisha SJ(1), Citarasu T(2).

Author information:
(1)Centre for Marine Science and Technology, Manonmaniam Sundaranar University, 
Rajakkamangalam, 629 502, Tamilnadu, India.
(2)Centre for Marine Science and Technology, Manonmaniam Sundaranar University, 
Rajakkamangalam, 629 502, Tamilnadu, India. citarasu@msuniv.ac.in.

The haloalkaliphilics are an important subset of extremophiles that grow in salt 
[upto 33% (wt/vol) NaCl] and alkaline pH (> 9). They are found in hypersaline 
environments especially in the brines in arid, coastal and deep sea locations, 
and in alkaline environments, such as soda soils, lakes and deserts. Some 
authors have described haloalkaliphilic bacteria as moderate halophilic 
bacteria, but the molecular and classical studies revealed that they belong to 
moderately to extremely halophilic bacteria and archaea. Organic solutes, such 
as glycine, betaine and other amino acid derivatives, sugars such as, sucrose 
and trehalose, and sugar alcohols present in the haloalkaliphilics help for 
their osmoadaptation, and also serve as stabilizers. Haloalkalphilics secrete 
exoenzymes like proteases, amylases, xylanases, cellulases and peroxidases which 
have potential industrial applications. They also produce bacteriorhodopsin, 
compatible solutes, pigments, biopolymers, secondary metabolites like 
biosurfactants, polyhydroxyalkanoate (PHA) and exopolysaccharides and 
antimicrobial/anticancer compounds. They have unique metabolic pathways which 
can be used to treat industrial pollutants, heavy metals and waste water.

DOI: 10.1007/s11274-020-02841-2
PMID: 32323057 [Indexed for MEDLINE]"
