PMID,Sentence,Interaction type,Regulation
22295871,"Caspase-1 was the first of a novel type of cysteine protease responsible for converting interleukin-1β to its mature form in monocytes.;  Caspase-1, also known as interleukin-1 converting enzyme (ICE), is responsible for the activation of IL-1β and IL-18 from precursor molecules.9 Caspase-1 is activated upon binding to the inflammasome, a multiprotein complex that plays a key role in innate immunity by activating the proinflammatory pleiotropic cytokines interleukin 1-β and IL-18.9 There is a strong correlation between dysregulated inflammasome activity and both inherited and acquired inflammatory diseases.9; Caspase-1 inhibitors have been proposed as potential therapies for the above mentioned cancers, as well as osteoarthritis and rheumatoid arthritis,32–33 Alzheimer's disease,19 amyotrophic lateral sclerosis9 and brain and nerve trauma.34–35; Caspase-1 is also down-regulated in many solid tumor cancers and activation of caspase-1 in prostate cancer and ovarian cancer may be required for apoptotic breakdown of tumors.;  Caspase-1 inhibition was determined in a fluorometric assay normalized to 1.00, where 0 is total enzyme inhibition and 1.00 is lack of enzyme inhibition.",Inhibition,up
22295871,"Caspase-1 was the first of a novel type of cysteine protease responsible for converting interleukin-1β to its mature form in monocytes.;  Caspase-1, also known as interleukin-1 converting enzyme (ICE), is responsible for the activation of IL-1β and IL-18 from precursor molecules.9 Caspase-1 is activated upon binding to the inflammasome, a multiprotein complex that plays a key role in innate immunity by activating the proinflammatory pleiotropic cytokines interleukin 1-β and IL-18.9 There is a strong correlation between dysregulated inflammasome activity and both inherited and acquired inflammatory diseases.9; Caspase-1 inhibitors have been proposed as potential therapies for the above mentioned cancers, as well as osteoarthritis and rheumatoid arthritis,32–33 Alzheimer's disease,19 amyotrophic lateral sclerosis9 and brain and nerve trauma.34–35; Caspase-1 is also down-regulated in many solid tumor cancers and activation of caspase-1 in prostate cancer and ovarian cancer may be required for apoptotic breakdown of tumors.;  Caspase-1 inhibition was determined in a fluorometric assay normalized to 1.00, where 0 is total enzyme inhibition and 1.00 is lack of enzyme inhibition.",Inhibition,up
22295871,"Caspase-1 was the first of a novel type of cysteine protease responsible for converting interleukin-1β to its mature form in monocytes.;  Caspase-1, also known as interleukin-1 converting enzyme (ICE), is responsible for the activation of IL-1β and IL-18 from precursor molecules.9 Caspase-1 is activated upon binding to the inflammasome, a multiprotein complex that plays a key role in innate immunity by activating the proinflammatory pleiotropic cytokines interleukin 1-β and IL-18.9 There is a strong correlation between dysregulated inflammasome activity and both inherited and acquired inflammatory diseases.9; Caspase-1 inhibitors have been proposed as potential therapies for the above mentioned cancers, as well as osteoarthritis and rheumatoid arthritis,32–33 Alzheimer's disease,19 amyotrophic lateral sclerosis9 and brain and nerve trauma.34–35; Caspase-1 is also down-regulated in many solid tumor cancers and activation of caspase-1 in prostate cancer and ovarian cancer may be required for apoptotic breakdown of tumors.;  Caspase-1 inhibition was determined in a fluorometric assay normalized to 1.00, where 0 is total enzyme inhibition and 1.00 is lack of enzyme inhibition.",Inhibition,up
22295871," The compounds were isolated either for their inhibition of the signal transduction enzyme caspase-1 or because of their structural similarity to these inhibitors.;  We routinely target the enzymes matrix metalloproteinase-3 (MMP-3), caspase-1 and caspase-3.;  The lead compounds presented in this manuscript were isolated because of their ability to inhibit caspase-1.; Several researchers have demonstrated that caspase-1 inhibitors have shown promise in delaying the onset of Huntington's disease10 and amyotropic lateral sclerosis,11 and in mitigating the effects of stroke12 and multiple sclerosis.13, 14 All of these diseases exhibit autoimmune phenomena.; The up-regulation of caspase-1 and concomitant chronic inflammation has been associated with a number of different pathologies including the development of insulin resistance in obesity related diabetes,16 degeneration of retinal capillaries associated with diabetes and galactosemia,17 the demyelination of neurons in multiple sclerosis,11,18 and the formation of amyloid plaques in Alzheimer's disease.19 High levels of caspase-1 and interleukin-1β have been found in certain cancers20 by many different researchers: acute myelogenous leukemia,21 melanoma,22–23 certain glioblastomas24–25 and pancreatic cancers,26–29 certain breast cancers,30 and human cancer xenografts31 all of which may be exacerbated by chronic inflammation associated with activation of the inflammasome.; Caspase-1 is also down-regulated in many solid tumor cancers and activation of caspase-1 in prostate cancer and ovarian cancer may be required for apoptotic breakdown of tumors.;  The development of new caspase-1 inhibitors will not only provide potential chemotherapeutics but will also provide tools for the investigation of the intricacies of signal transduction.;  This organic extract was active in all three enzyme inhibition assays, although in this study we focused on the caspase-1 inhibitors.; Compounds 1, 2, 4, and 6–9 were evaluated for their ability to inhibit caspase-1 in vitro, and the most active compounds and closely related analogues were evaluated for their ability to inhibit the production of interleukin 1-β in THP-1 cells (pro-monocytic leukemia cell line).;  Both berkazaphilone B (2) and C (4) had IC100 values of 25 μM against caspase-1, while berkazaphilone A (1), penisimplicissin (8), and compound 9 were completely inhibitory at a concentration of 250 μM.;  It was interesting to note that in several microarray experiments caspase-1 was upregulated almost exclusively in different leukemia cell lines.53–56;  This extract demonstrated inhibition of caspase-1 and MMP-3, antimicrobial activity against Staphylococcus aureus and Escherichia coli, and brine shrimp lethality.;  The resulting cell pellet was suspended at 1.0 × 106 cells/mL and exposed to caspase-1 inhibitors at concentrations described below (0.5%–0.005%), LPS [20ng/mL] and TiO2 nanowires (100 μg/mL).",Inhibition,up
22295871," The compounds were isolated either for their inhibition of the signal transduction enzyme caspase-1 or because of their structural similarity to these inhibitors.;  We routinely target the enzymes matrix metalloproteinase-3 (MMP-3), caspase-1 and caspase-3.;  The lead compounds presented in this manuscript were isolated because of their ability to inhibit caspase-1.; Several researchers have demonstrated that caspase-1 inhibitors have shown promise in delaying the onset of Huntington's disease10 and amyotropic lateral sclerosis,11 and in mitigating the effects of stroke12 and multiple sclerosis.13, 14 All of these diseases exhibit autoimmune phenomena.; The up-regulation of caspase-1 and concomitant chronic inflammation has been associated with a number of different pathologies including the development of insulin resistance in obesity related diabetes,16 degeneration of retinal capillaries associated with diabetes and galactosemia,17 the demyelination of neurons in multiple sclerosis,11,18 and the formation of amyloid plaques in Alzheimer's disease.19 High levels of caspase-1 and interleukin-1β have been found in certain cancers20 by many different researchers: acute myelogenous leukemia,21 melanoma,22–23 certain glioblastomas24–25 and pancreatic cancers,26–29 certain breast cancers,30 and human cancer xenografts31 all of which may be exacerbated by chronic inflammation associated with activation of the inflammasome.; Caspase-1 is also down-regulated in many solid tumor cancers and activation of caspase-1 in prostate cancer and ovarian cancer may be required for apoptotic breakdown of tumors.;  The development of new caspase-1 inhibitors will not only provide potential chemotherapeutics but will also provide tools for the investigation of the intricacies of signal transduction.;  This organic extract was active in all three enzyme inhibition assays, although in this study we focused on the caspase-1 inhibitors.; Compounds 1, 2, 4, and 6–9 were evaluated for their ability to inhibit caspase-1 in vitro, and the most active compounds and closely related analogues were evaluated for their ability to inhibit the production of interleukin 1-β in THP-1 cells (pro-monocytic leukemia cell line).;  Both berkazaphilone B (2) and C (4) had IC100 values of 25 μM against caspase-1, while berkazaphilone A (1), penisimplicissin (8), and compound 9 were completely inhibitory at a concentration of 250 μM.;  It was interesting to note that in several microarray experiments caspase-1 was upregulated almost exclusively in different leukemia cell lines.53–56;  This extract demonstrated inhibition of caspase-1 and MMP-3, antimicrobial activity against Staphylococcus aureus and Escherichia coli, and brine shrimp lethality.;  The resulting cell pellet was suspended at 1.0 × 106 cells/mL and exposed to caspase-1 inhibitors at concentrations described below (0.5%–0.005%), LPS [20ng/mL] and TiO2 nanowires (100 μg/mL).",Inhibition,up
22295871," The compounds were isolated either for their inhibition of the signal transduction enzyme caspase-1 or because of their structural similarity to these inhibitors.;  We routinely target the enzymes matrix metalloproteinase-3 (MMP-3), caspase-1 and caspase-3.;  The lead compounds presented in this manuscript were isolated because of their ability to inhibit caspase-1.; Several researchers have demonstrated that caspase-1 inhibitors have shown promise in delaying the onset of Huntington's disease10 and amyotropic lateral sclerosis,11 and in mitigating the effects of stroke12 and multiple sclerosis.13, 14 All of these diseases exhibit autoimmune phenomena.; The up-regulation of caspase-1 and concomitant chronic inflammation has been associated with a number of different pathologies including the development of insulin resistance in obesity related diabetes,16 degeneration of retinal capillaries associated with diabetes and galactosemia,17 the demyelination of neurons in multiple sclerosis,11,18 and the formation of amyloid plaques in Alzheimer's disease.19 High levels of caspase-1 and interleukin-1β have been found in certain cancers20 by many different researchers: acute myelogenous leukemia,21 melanoma,22–23 certain glioblastomas24–25 and pancreatic cancers,26–29 certain breast cancers,30 and human cancer xenografts31 all of which may be exacerbated by chronic inflammation associated with activation of the inflammasome.; Caspase-1 is also down-regulated in many solid tumor cancers and activation of caspase-1 in prostate cancer and ovarian cancer may be required for apoptotic breakdown of tumors.;  The development of new caspase-1 inhibitors will not only provide potential chemotherapeutics but will also provide tools for the investigation of the intricacies of signal transduction.;  This organic extract was active in all three enzyme inhibition assays, although in this study we focused on the caspase-1 inhibitors.; Compounds 1, 2, 4, and 6–9 were evaluated for their ability to inhibit caspase-1 in vitro, and the most active compounds and closely related analogues were evaluated for their ability to inhibit the production of interleukin 1-β in THP-1 cells (pro-monocytic leukemia cell line).;  Both berkazaphilone B (2) and C (4) had IC100 values of 25 μM against caspase-1, while berkazaphilone A (1), penisimplicissin (8), and compound 9 were completely inhibitory at a concentration of 250 μM.;  It was interesting to note that in several microarray experiments caspase-1 was upregulated almost exclusively in different leukemia cell lines.53–56;  This extract demonstrated inhibition of caspase-1 and MMP-3, antimicrobial activity against Staphylococcus aureus and Escherichia coli, and brine shrimp lethality.;  The resulting cell pellet was suspended at 1.0 × 106 cells/mL and exposed to caspase-1 inhibitors at concentrations described below (0.5%–0.005%), LPS [20ng/mL] and TiO2 nanowires (100 μg/mL).",Inhibition,up
22295871,nan,Inhibition,
22295871,nan,Inhibition,
22295871,nan,Inhibition,
28045976," The lake water had a high level of dissolved matter and high alkalinity (10.6–14.5 g L-1 eq.;  The phytoplankton biomass was very high, with a total chlorophyll a concentration of 524 to 875 μg chl a L-1 depending on the survey, homogeneously distributed from surface to bottom (4 m).;  Heterotrophic bacterioplankton was extremely abundant, with cell densities up to 1.5 108 cells mL-1 in the whole water column.;  Measurements were converted to mg O2 L-1 as described in [22], correcting for temperature and salinity.; 
where [chl a] is the concentration of chlorophyll a in the ethanol extract in μg mL-1 and A665 and A750 are the absorbance readings at 665 nm and 750 nm, respectively, for a 1 cm path optical glass cuvette.; Water samples were inoculated on Z8 medium [41] supplemented with salt (NaCl 20 g L-1), in liquid and solid medium (7 g L-1 of agar).; (A) Temperature (°C, black diamonds), salinity (psu, blue squares) and dissolved oxygen concentration (mg L-1, red circles) are given for CLB station of Dziani Dzaha Lake in 2010 (closed symbols) and 2011 (open symbols). (B) Box-plot of temperature record at four selected depths during the two surveys (n = 2400). (C) Box-plot of all conductivity records during the two surveys (n = 370 for 2010; n = 252 for 2011).;  The alkalinity is high, with levels comprised between 10.6 and 14.5 g L-1 eq.; Dissolved anions, cations (mg L-1), and total alkalinity TAL (mg L-1 eq.; Ward’s method clustering based on the records of the six major dissolved elements (Na+, K+, Mg2+, Ca2+, SO42-, Cl-) expressed as mg L-1, and total alkalinity expressed as mg L-1 eq.CO32-.; The total chlorophyll a concentration in Dziani Dzaha was extremely high, mainly around 524 μg chl a L-1 during the 2010 survey and 875 μg chl a L-1 in 2011 (n = 74), with a uniform vertical distribution (Fig 4A).;  Without outliers, the mean values were 685±66 μg chl a L-1 in 2010 and 702 ± 48 μg chl a L-1 in 2011.;  There was only one exception on Sep. 29th, 2011, when the surface values dropped to 175 μg chl a L-1 with the concentration reaching 2470 μg chl a L-1 just above the sediment (outliers in Fig 4A and 4B).;  At 31°C and 52 psu, the oxygen saturation corresponded to a concentration of 5.6 mg O2 L-1 in the top 50 cm layer, and the dissolved oxygen never dropped far below this value even at night time.;  Linear regression of dark records gave a respiration rate of between -0.93±0.024 mg O2 L-1 h-1 and -0.59±0.012 mg O2 L-1 h-1 depending on the depth and day considered (Table 3), whereas the apparent in situ net production during the first three hours of the day varied between 1.19±0.06 mg O2 L-1 h-1 and 3.59±0.2 mg O2 L-1 h-1.; Using α, β and Pmax derived from PSOE curves, the daily oxygen production was calculated using the method described in [49]. Using the input values listed in Table 4 for PSOE, a constant [chl a] of 612 μg L-1 over the whole well-lit layer (mean of 2011 values excluding outliers), the averaged light measurements at a depth of 0.3 m (mean of 10 days, n = 720 for daytime periods) and a PAR attenuation coefficient Kd = 6.79 m-1, the instantaneous O2 gross production was calculated for 10 min intervals at a 10 cm resolution, giving a GPP of 19.4 g O2 m-2 d-1 (Table 3).;  Assuming a constant mean respiration rate, for the whole period, equal to 0.6 mg O2 L-1 h-1 calculated from incubations in bottles in the dark, the resulting net production was 8 g O2 m-2 d-1 (Table 3).;  No significant differences were found in the total bacterial cell counts between days of year, years or sampling depths, with an average density over the whole survey of 1.38 x 108 cells mL-1 (SD = 22.4%, n = 77, Fig 7B).; Dissolved organic carbon concentrations were relatively homogeneous on the water column, with a mean of 77.5 mg L-1 (n = 11) in 2010 and 66,6 mg L-1 (n = 25) in 2011, and C:N ratio for dissolved organic matter enriched in carbon relative to particulate matter (Table 7).;  Assuming a mean total particulate carbon of 35 mg C L-1 (Table 5) and a total photosynthetic carbon biomass of 140 g C m-2 for a 4 m deep water column, a daily production of 8.3 g C m-2 d-1 represented only 6% of the total stock.;  A mean abundance of 1.38 x 108 cells mL-1 is much higher than in other aquatic ecosystems (estuaries, lakes and oceans), where values generally range from 1.4 105 to 1.6 107 cells mL-1 [63]. Flow cytometry did not clearly discriminated bacterial populations during the two surveys, except for the mean ratio of high to low DNA cells that differed in 2010 and 2011 by a factor of three.",,up
