Chemicals,ChemicalID,Length,PMID
(S)-( +)-1-phenylethylamine,C033198,1,[32418069]
(S)-amine,D000588,1,[32418069]
1-10-phenanthroline,C025205,1,[12910392]
1-aminocyclopropane-1-carboxylic acid,D002264,1,[37474779]
1-butanol,D020001,1,[12382117]
1-butyl-3-methylimidazolium chloride,C502841,1,[27142029]
1-butyl-3-methylimidazolium trifluoromethanesulfonate,C532403,1,[27142029]
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,C556629,1,[27142029]
1-hydroxybenzotriazole,C011852,1,[32617733]
12-methyl tetradecanoic acids,C069642,1,[10972188]
2-2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid,C002502,1,[12892493]
2-2'-bipyridyl,D015082,1,[12910392]
2-3-butanediol,C026978,1,[28425950]
2-4-D,D015084,1,[11778838]
2-4-diaminobutyric acid,C005959,1,[28737704]
2-4-dichlorophenoxyacetic acid,D015084,1,[11778838]
2-methyl-4-chlorophenoxyacetic acid,D008456,1,[11778838]
2-propanol,D019840,1,[32617734]
20-60  C,C069837,1,[37847305]
3-amino-1-2-4-triazole,D000640,1,[12892493]
3-chlorobenzoic acid,C036427,1,[11778838]
30-60 C,C069837,1,[38010865]
5'-GMP,D006157,1,[28764042]
5'-IMP,D007291,1,[28764042]
5-HT,D012701,1,[12932132]
5-hydroxydecanoic acid,C052853,1,[28425950]
6-carboxyfluorescein,C024098,1,[9783169]
6-methoxymellein,C080190,1,[38035483]
8-anilino-1- naphthalene sulfonate,C515594,1,[20703955]
ABA,D000040,1,[27061088]
ABTS,C002502,1,[24915287]
ATP,D000255,10,"[31273417, 26090360, 9783168, 36094301, 20703955, 36937286, 21600188, 11029415, 11057912, 10741831]"
Abscisic Acid,D000040,1,[33925342]
Abscisic acid,D000040,1,[33925342]
Acetonitrile,C032159,1,[33208066]
Al-2,D000535,1,[37847305]
Ala,D000409,1,[7908011]
Arg,D001120,2,"[11029415, 7908011]"
Arsenic,D001151,3,"[26647770, 31564490, 24292445]"
As,D001151,1,[24903703]
AsV,C571889,1,[24292445]
Asn,D001216,1,[7908011]
Azo dyes,D001391,1,[31768644]
BP,C038809,1,[18048917]
Ba2+,C080430,1,[31388592]
Bauxite,D000537,1,[24817611]
Berkelic acid,C520589,1,[16808526]
C,D002244,3,"[22297696, 12579380, 26476701]"
C15,C003946,1,[35661272]
C2,C023714,1,[22359317]
CMC,D002266,1,[35137293]
CO(2),D002245,2,"[23065059, 19536453]"
CO2,D002245,12,"[25443670, 9783169, 26263620, 34322108, 23881259, 37667571, 33030592, 27278384, 21555270, 26337149, 15127306, 27061088]"
Ca2+,D000069285,8,"[31388592, 27771767, 9783165, 32617734, 33208066, 28087527, 30304581, 27737605]"
CaCl2,D002122,3,"[33208066, 26159877, 31218179]"
Cadmium,D002104,1,[27484342]
Calcium,D002118,1,[29497843]
Carbohydrate,D002241,1,[33538376]
Carbon,D002244,2,"[23065059, 27278384]"
Carbonate,D002254,1,[37819713]
Carboniferous Basin,C074619,1,[38133826]
Casamino acids,C017721,1,[19625440]
Cd,D002104,4,"[27484342, 32050135, 26901506, 27061088]"
CdCl2,D019256,1,[26901506]
Chlorine,D002713,1,[36362210]
Chromium,D002857,2,"[37046169, 36149604]"
ClO2,D002713,1,[36362210]
Co+2,C065987,1,[37847305]
Co2+,D002245,3,"[33208066, 27737605, 22260050]"
CoA,D000105,1,[16708165]
Cr,D002857,2,"[37046169, 36149604]"
Cr(III),C495433,1,[37046169]
Cr(VI),C074702,2,"[37046169, 36149604]"
Cu,D003300,3,"[27362528, 17027868, 35137293]"
Cu+2,D003300,1,[37847305]
D,D003903,1,[10972188]
DFP,D007531,1,[31236718]
DMDS,C021181,1,[10879559]
DMP,D014494,1,[24915287]
DMS,D004113,1,[10879559]
DMSO,D004121,2,"[33208066, 33620581]"
DPG,D002308,1,[31538256]
DPPC,D015060,1,[16382574]
DTT,D004229,2,"[32617734, 32528424]"
Dimethylsulfoxide,D004121,1,[33620581]
Dithiothreitol,D004229,1,[32617734]
Dt,D013936,1,[24030483]
EAP,C005448,1,[30400922]
EDTA,D004492,7,"[31388592, 35137293, 12910392, 30304581, 32528424, 27142029, 22260050]"
EGTA,D004533,1,[12910392]
EPS,C100219,1,[29292148]
FDP,C029063,1,[11057912]
FOS-choline-12,D002794,1,[37577439]
Fe,D007501,4,"[37681980, 35137293, 37520367, 17673945]"
Fe(II),D007501,1,[37520367]
Fe(III),D007501,1,[37520367]
Fe+2,D007501,1,[37847305]
Fe0,D007501,1,[37681980]
Fe2O3,D007501,1,[37681980]
Fe3+,D007501,1,[37681980]
Fructose-1-6-bisphosphatase,D005632,1,[36937286]
Fructose-bisphosphate,C027652,1,[36937286]
GSH,D005978,1,[27061088]
Glucose,D005947,1,[14991423]
Gly,D005998,1,[27209523]
Glycerol,D005990,1,[29932648]
H(2),D003903,1,[21479878]
H2,D003903,4,"[33538376, 24903703, 15127306, 16491340]"
H2O2,D014867,3,"[37474779, 24214268, 26901506]"
HCO3,D001639,1,[18097633]
HS,D006859,1,[27061088]
Hg,D008628,1,[17027868]
IPTG,D007544,1,[22327111]
Indigo,D007203,1,[30105570]
Iron,D007501,1,[37520367]
JA,C011006,1,[27061088]
KCl,D011189,1,[25293792]
L,D007930,1,[17673945]
L-,D007930,1,[17673945]
L-alanine,D000409,1,[9783179]
L-glutamate,D018698,1,[20718295]
LPS,D008070,1,[20890499]
Lignocellulose,C036909,1,[34669438]
Lipid,D008055,3,"[28007654, 32155764, 27276261]"
Lipids,D008055,1,[28007654]
Lys,D008239,2,"[11029415, 7908011]"
MAGs,C035408,1,[36414646]
MK-7,C062629,2,"[35661272, 31538256]"
MR,C008492,1,[28255636]
MSO,C013111,1,[33620581]
Metal,D008670,3,"[31541933, 32617734, 27484342]"
Methane,D008697,1,[24638260]
Methyl Orange,C100258,1,[32617733]
Mg,D008274,3,"[17027868, 26242906, 21600188]"
Mg+2,D008274,1,[37847305]
MgSO4,D008278,1,[25293792]
Mn+2,D008345,1,[37847305]
MnCl2,C025340,1,[29018969]
Mycosporine-2-glycine,C463482,1,[24375141]
N(2)O,D009609,1,[18452025]
N-(2-aminoethyl) glycine,C028791,1,[28737704]
N-1-naphthylacetamide,C025234,1,[38035483]
N-Boc-hydroxylamine,D019811,1,[38035483]
N-acetylserotonin,C006389,1,[38035483]
N-carboxyanhydride,C517076,1,[37303170]
N2O,D009609,1,[16491340]
NAD,D009243,1,[10972192]
NADH,D009243,2,"[37577439, 30105570]"
Na2CO3,D012964,1,[36937286]
NaCl,D012965,59,"[32323057, 23686381, 26025020, 21340748, 31734848, 37847305, 9783165, 18378586, 36260502, 36414646, 33208066, 35661272, 19002649, 35652980, 38225962, 28255636, 26171779, 26159877, 22297696, 33404954, 19930649, 35587636, 36721347, 31481201, 15309564, 11139081, 15322951, 30701281, 35190857, 30897508, 26588061, 36937286, 27278384, 29681022, 27010414, 27737605, 12382117, 24915287, 17298474, 24996797, 17006740, 26909467, 14572091, 18309455, 26696418, 31218179, 12728359, 18385928, 9672687, 15127306, 20373120, 18335164, 27061088, 26476701, 21974779, 27114252, 10972188, 15841343, 22260050]"
NaHCO3,D017693,3,"[26025020, 15309564, 36937286]"
Nitrate,D009566,1,[15322951]
O2,D010100,4,"[26733008, 24903703, 33620581, 24927538]"
