species,SpeciesID,Length,PMID
A. alcalica,40169.0,1,[36250323]
A. caviae,648.0,1,[27737605]
A. gerrardii,875634.0,1,[38035483]
A. glaucus,40226.0,1,[29681022]
A. gottschalkii,108328.0,1,[18957864]
A. grahami,87886.0,1,[36250323]
A. halimus,240028.0,1,[27010414]
A. littoralis,110874.0,1,[26476701]
A. penicillioides,41959.0,1,[27871132]
A. pullulans,5580.0,1,[17298474]
A. thaliana,3702.0,1,[25308761]
AM-001,1418.0,1,[15999223]
AMnr1,622665.0,1,[19779762]
AO1,340959.0,1,[30105570]
ATCC 43099,13769.0,1,[22559199]
ATCC BAA-393,159292.0,1,[12728359]
Acacia gerrardii,875634.0,1,[38035483]
Acinetobacter Ver3,466088.0,1,[26647770]
Acinetobacter baumannii,470.0,1,[36094301]
Acinetobacter sp,472.0,1,[33645540]
Acinetobacter sp. Ver3,466088.0,2,"[33645540, 30485446]"
Aeluropus littoralis,110874.0,1,[26476701]
Aeromonas caviae,648.0,1,[27737605]
Agarivorans sp,1872412.0,1,[19002649]
Agarivorans sp. JAM-A1m,507618.0,1,[19002649]
Agromyces indicus,758919.0,1,[24817611]
Alcolapia grahami,87886.0,1,[36250323]
Alicyclobacillus,61169.0,1,[30656425]
Alicyclobacillus sp,61169.0,1,[30656425]
Alkalibacillus haloalkaliphilus C-5,1193119.0,1,[22887673]
Alkalibacter saccharofermentans,235931.0,1,[15127306]
Alkalibacterium sp. TRTYP6,1581170.0,1,[27362528]
Alkalilactibacillus,486507.0,1,[22297696]
Alkalilactibacillus ikkensis,486507.0,1,[22297696]
Alkalilimnicola halodurans,133194.0,1,[16491340]
Alkalilimnicola sp,1872450.0,1,[16491340]
Alkalimonas amylolytica,152573.0,2,"[22583823, 24297704]"
Alkalispirillum mobile,85925.0,1,[16491340]
Alpha-proteobacteria,28211.0,1,[18427718]
Amphibacillus tropicus,173040.0,2,"[18769867, 22297696]"
Anaerobranca gottschalkii,108328.0,1,[18957864]
Anditalea andensis,1048983.0,1,[26171779]
Anoxybacillus kamchatkensis,196180.0,1,[31407121]
Antarctomyces pellizariae,1955577.0,1,[32389811]
Aphanothece,72020.0,1,[24375141]
Aphanothece clathrata,1521602.0,1,[15064977]
Aphanothece halophytica,72020.0,1,[24375141]
Arabidopsis,3702.0,5,"[31338597, 24214268, 34256694, 25496221, 31781937]"
Arabidopsis thaliana,3702.0,3,"[33030592, 25308761, 31338597]"
Arthrospira,35824.0,1,[28045976]
Arthrospira sp,35824.0,1,[28045976]
Aspergillus,746128.0,1,[31938738]
Aspergillus fumigatus,746128.0,1,[31938738]
Aspergillus glaucus,41413.0,1,[29290045]
Aspergillus nidulans,162425.0,2,"[37367588, 11354456]"
Aspergillus niger,5061.0,1,[30863668]
Aspergillus penicillioides,41959.0,1,[27871132]
Aspergillus sp,5065.0,1,[38225962]
Atriplex,240028.0,1,[27010414]
Atriplex halimus,240028.0,1,[27010414]
Aureobasidium pullulans,5580.0,2,"[17298474, 30400922]"
B. amyloliquefaciens,1390.0,1,[27142029]
B. anthracis,1392.0,1,[24817611]
B. atrophaeus,1452.0,1,[31218179]
B. cereus,1396.0,1,[37474779]
B. clausii,79880.0,2,"[17429572, 24915287]"
B. firmus OF4,79885.0,1,[9783168]
B. flexus,86664.0,1,[33208066]
B. halmapalus,79882.0,1,[11878564]
B. halodurans,86665.0,1,[10972189]
B. halodurans C-125,272558.0,1,[10972189]
B. macrocarpa,343494.0,1,[26588061]
B. paraconglomeratum,173362.0,1,[36149604]
B. pseudofirmus OF4,398511.0,1,[18048917]
B. subtilis,1423.0,7,"[30266724, 9783168, 11057908, 26026992, 24915287, 10805564, 10972189]"
BCRC 17406,307486.0,1,[16215773]
BY,34395.0,1,[29538737]
Bacillus,1925021.0,16,"[35587636, 9672682, 18401746, 27891113, 15022105, 20344941, 34681129, 9672682, 22260050, 11699647, 30105570, 31407121, 27771767, 10805564, 9680321, 32424739]"
Bacillus Subtilis,1423.0,1,[27114252]
Bacillus YN-1,72581.0,1,[9672682]
Bacillus agaradhaerens,76935.0,1,[22260050]
Bacillus alcalophilus,1445.0,1,[11057913]
Bacillus amyloliquefaciens,1390.0,3,"[27142029, 11699647, 35137293]"
Bacillus arseniciselenatis,85682.0,1,[19779762]
Bacillus atrophaeus,1452.0,1,[31218179]
Bacillus beveridgei,632773.0,1,[19536453]
Bacillus cereus,1396.0,1,[37474779]
Bacillus clausii,79880.0,2,"[24915287, 17429572]"
Bacillus clausii KSM-K16,66692.0,1,[27771767]
Bacillus cohnii,33932.0,1,[11057913]
Bacillus firmus OF4,79885.0,1,[9783168]
Bacillus flexus,86664.0,1,[33208066]
Bacillus halmapalus,79882.0,1,[11878564]
Bacillus halodurans,86665.0,1,[17006740]
