PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30796503","Genomics of Alkaliphiles","Lebre PH, Cowan DA.","Adv Biochem Eng Biotechnol. 2020;172:135-155. doi: 10.1007/10_2018_83.","Lebre PH","Adv Biochem Eng Biotechnol","2020","2019/02/24","","","10.1007/10_2018_83"
"37118007","Chemical approaches to cryopreservation","Murray KA, Gibson MI.","Nat Rev Chem. 2022 Aug;6(8):579-593. doi: 10.1038/s41570-022-00407-4. Epub 2022 Jul 18.","Murray KA","Nat Rev Chem","2022","2023/04/28","","","10.1038/s41570-022-00407-4"
"15046570","Alkalithermophiles","Wiegel J, Kevbrin VV.","Biochem Soc Trans. 2004 Apr;32(Pt 2):193-8. doi: 10.1042/bst0320193.","Wiegel J","Biochem Soc Trans","2004","2004/03/30","","","10.1042/bst0320193"
"33763123","Comparative Metagenomic Analysis of Two Alkaline Hot Springs of Madhya Pradesh, India and Deciphering the Extremophiles for Industrial Enzymes","Choure K, Parsai S, Kotoky R, Srivastava A, Tilwari A, Rai PK, Sharma A, Pandey P.","Front Genet. 2021 Mar 8;12:643423. doi: 10.3389/fgene.2021.643423. eCollection 2021.","Choure K","Front Genet","2021","2021/03/25","PMC7982539","","10.3389/fgene.2021.643423"
"28007654","Archaeal phospholipids: Structural properties and biosynthesis","Caforio A, Driessen AJM.","Biochim Biophys Acta Mol Cell Biol Lipids. 2017 Nov;1862(11):1325-1339. doi: 10.1016/j.bbalip.2016.12.006. Epub 2016 Dec 20.","Caforio A","Biochim Biophys Acta Mol Cell Biol Lipids","2017","2016/12/24","","","10.1016/j.bbalip.2016.12.006"
"29266533","Recent Advances in Halophilic Protozoa Research","Harding T, Simpson AGB.","J Eukaryot Microbiol. 2018 Jul;65(4):556-570. doi: 10.1111/jeu.12495. Epub 2018 Feb 6.","Harding T","J Eukaryot Microbiol","2018","2017/12/22","","","10.1111/jeu.12495"
"26780356","Wide pH range tolerance in extremophiles: towards understanding an important phenomenon for future biotechnology","Dhakar K, Pandey A.","Appl Microbiol Biotechnol. 2016 Mar;100(6):2499-510. doi: 10.1007/s00253-016-7285-2. Epub 2016 Jan 16.","Dhakar K","Appl Microbiol Biotechnol","2016","2016/01/19","","","10.1007/s00253-016-7285-2"
"29290045","Abiostress resistance and cellulose degradation abilities of haloalkaliphilic fungi: applications for saline-alkaline remediation","Wei Y, Zhang SH.","Extremophiles. 2018 Mar;22(2):155-164. doi: 10.1007/s00792-017-0986-3. Epub 2017 Dec 30.","Wei Y","Extremophiles","2018","2018/01/01","","","10.1007/s00792-017-0986-3"
"37490857","Extremophilic and extremotolerant fungi","Gostinčar C, Stajich JE, Gunde-Cimerman N.","Curr Biol. 2023 Jul 24;33(14):R752-R756. doi: 10.1016/j.cub.2023.06.011.","Gostinčar C","Curr Biol","2023","2023/07/25","","","10.1016/j.cub.2023.06.011"
"32323057","Nature and bioprospecting of haloalkaliphilics: a review","Uma G, Babu MM, Prakash VSG, Nisha SJ, Citarasu T.","World J Microbiol Biotechnol. 2020 Apr 23;36(5):66. doi: 10.1007/s11274-020-02841-2.","Uma G","World J Microbiol Biotechnol","2020","2020/04/24","","","10.1007/s11274-020-02841-2"
"32533304","Microorganisms populating the water-related indoor biome","Novak Babič M, Gostinčar C, Gunde-Cimerman N.","Appl Microbiol Biotechnol. 2020 Aug;104(15):6443-6462. doi: 10.1007/s00253-020-10719-4. Epub 2020 Jun 12.","Novak Babič M","Appl Microbiol Biotechnol","2020","2020/06/14","PMC7347518","","10.1007/s00253-020-10719-4"
