Genes,GeneIDs,PMID
AP,13916924,12072958
Caspase-1,834,22295871
Chl,91851,31679078
Ikka,1147,16770690
Ikka,1147,27900683
L-1,16728,28045976
NapB,63908,19050822
Ndh-2,1660,37577439
ORF-1,1115973,11057908
ORF-4,1115988,11057908
PEP,828706,31338597
PH,5053,27276261
PIP1,856754,34256694
PRB,10536,36916005
Rhbg,57127,36250323
TAK,1025,34093984
acid 1,81857,16808526
alkaline phosphatase,13916924,22212656
alkaline phosphatase,13916924,12072958
caspase-1,834,22295871
fog,161882,24927538
hMDH,4191,12382117
interleukin-1beta,3553,22295871
mL-1,16728,28045976
neuraminidase,4758,33977442
osteocalcin,12097,30400922
pH,5053,26025020
protein B,10536,36916005
sea,6395,20091326
spa,653509,24430481
tap,10482,32533304
vma3,856686,9783169
