Chemicals,ChemicalID,PMID
glycerol,D005990,37118007
dimethyl sulfoxide,D004121,37118007
phospholipids,D010743,28007654
Phospholipids,D010743,28007654
lipids,D008055,28007654
isoprenoid,D013729,28007654
glycerol-1-phosphate,C029620,28007654
fatty acids,D005227,28007654
ester,D004952,28007654
glycerol-,D005990,28007654
lipid,D008055,28007654
Lipid,D008055,28007654
Lipids,D008055,28007654
water,D014867,29266533
salt,D012492,29266533
lipid,D008055,29266533
water,D014867,26780356
saline,D012965,29290045
salt,D012492,29290045
salt,D012492,32323057
NaCl,D012965,32323057
glycine,D005998,32323057
betaine,D001622,32323057
sugars,D000073893,32323057
sucrose,D013395,32323057
trehalose,D014199,32323057
sugar alcohols,D013402,32323057
polyhydroxyalkanoate,D054813,32323057
PHA,D054813,32323057
water,D014867,32323057
water,D014867,32533304
arsenic,D001151,26733008
salts,D012492,26733008
O2,D010100,26733008
ozone,D010126,26733008
Arsenic,D001151,26647770
salt,D012492,26647770
PacC,C406277,37367588
salt,D012492,8688447
water,D014867,8688447
Metal,D008670,31541933
hydrocarbons,D006838,31541933
ester,D004952,35688350
lipid,D008055,35688350
poly,C017937,37317247
triacylglycerol,D014280,36307049
ester,D004952,36307049
water,D014867,31734456
salt,D012492,31734456
ATP,D000255,31273417
chromium,D002857,37046169
Cr,D002857,37046169
Cr(VI),C074702,37046169
Chromium,D002857,37046169
Cr(III),C495433,37046169
water,D014867,29392527
Carbohydrate,D002241,33538376
sulfur,D013455,33538376
amylose,D000688,33538376
glycogen,D006003,33538376
sugars,D000073893,33538376
glycerol,D005990,33538376
carbon,D002244,33538376
glucose,D005947,33538376
dimethyl sulfoxide,D004121,33538376
H2,D003903,33538376
thiosulfate,D013885,33538376
saline,D012965,34402982
TCA,D014238,34402982
starch,D013213,34402982
trehalose,D014199,34402982
acetate,D000085,34402982
pyruvate,D019289,34402982
formate,C030544,34402982
glutamate,D018698,34402982
threonine,D013912,34402982
ectoine,C045628,34402982
NaCl,D012965,23686381
agar,D000362,23686381
water,D014867,11234023
saline,D012965,26025020
lipid,D008055,26025020
sulfur,D013455,26025020
NaCl,D012965,26025020
NaHCO3,D017693,26025020
iron,D007501,33123748
irons,D007501,33123748
metals,D008670,27362528
metal,D008670,27362528
Cu,D003300,27362528
ammonium sulphate,D000645,31388592
Ba2+,C080430,31388592
Ca2+,D000069285,31388592
EDTA,D004492,31388592
NaCl,D012965,21340748
CO2,D002245,25443670
metal,D008670,25443670
N-(2-aminoethyl) glycine,C028791,28737704
2-4-diaminobutyric acid,C005959,28737704
-cylindrospermopsins,C089595,28737704
microcystins,D052998,28737704
nodularins,C063998,28737704
hydrocarbon,D006838,16514512
hydrocarbons,D006838,16514512
water,D014867,16514512
Polymer,D011108,31087781
poly(vinyl alcohol),D011142,31087781
ice,D007053,31087781
salt,D012492,31734848
urea,D014508,31734848
trimethylamine N-oxide,C005855,31734848
TMAO,C005855,31734848
polyacrylamide,C016679,31734848
NaCl,D012965,31734848
Rb+,D012413,27771767
Ca2+,D000069285,27771767
Al-2,D000535,37847305
20-60  C,C069837,37847305
Mn+2,D008345,37847305
Cu+2,D003300,37847305
Co+2,C065987,37847305
Mg+2,D008274,37847305
NaCl,D012965,37847305
Zn+2,D015032,37847305
Fe+2,D007501,37847305
fructose,D005632,37847305
glucose,D005947,37847305
CO(2),D002245,23065059
acetate,D000085,23065059
Carbon,D002244,23065059
carbon,D002244,23065059
Ca2+,D000069285,9783165
water,D014867,9783165
NaCl,D012965,9783165
carbon,D002244,9783165
sulfur,D013455,9783165
NaCl,D012965,18378586
glucose,D005947,9783163
serine,D012694,32617734
Metal,D008670,32617734
Ca2+,D000069285,32617734
ethanol,D000431,32617734
methanol,D000432,32617734
acetone,D000096,32617734
2-propanol,D019840,32617734
dimethyl sulfoxide,D004121,32617734
Tween-80,D011136,32617734
Triton X-100,D017830,32617734
Dithiothreitol,D004229,32617734
DTT,D004229,32617734
TMAO,C005855,36916005
trimethylamine N-oxide,C005855,36916005
urea,D014508,36916005
hydrogen,D006859,36916005
salt,D012492,29857102
Water,D014867,28418707
water,D014867,28418707
fluorescein diacetate,C018506,28418707
hydrogen,D006859,36260502
methane,D008697,36260502
carbon dioxide,D002245,36260502
carbon,D002244,36260502
NaCl,D012965,36260502
novobiocin,D009675,36260502
streptomycin,D013307,36260502
vancomycin,D014640,36260502
ampicillin,D000667,36260502
penicillin,D010406,36260502
chlorophyll,D002734,35398716
water,D014867,35398716
nitrogen,D009584,35398716
saline,D012965,24846742
chloroform,D002725,24846742
NaCl,D012965,36414646
MAGs,C035408,36414646
glycerol,D005990,36414646
ATP,D000255,26090360
SDS,D012967,27240670
xylan,D014990,27240670
arabinoxylan,C085118,27240670
avicel,D002482,27240670
carboxymethylcellulose,D002266,27240670
arabinan,C030080,27240670
Xylooligosaccharides,C570991,27240670
xylobiose,C004173,27240670
carbohydrate,D002241,27240670
lipid,D008055,29270851
water,D014867,20640865
saline,D012965,20640865
Water,D014867,33819431
water,D014867,33819431
brine,C017082,33819431
phenolic,C017616,36581887
lignin phenols,D008031,36581887
chlorine dioxide,C025109,36581887
phenols,D010636,36581887
water,D014867,21605309
magnetite,D052203,21605309
sulfate,D013431,21605309
carbon dioxide,D002245,34545451
Abscisic Acid,D000040,33925342
Abscisic acid,D000040,33925342
Serine,D012694,33208066
carbon,D002244,33208066
nitrogen,D009584,33208066
NaCl,D012965,33208066
fructose,D005632,33208066
CaCl2,D002122,33208066
ammonium sulphate,D000645,33208066
Ca2+,D000069285,33208066
Co2+,D002245,33208066
ethanol,D000431,33208066
acetone,D000096,33208066
Acetonitrile,C032159,33208066
butanol,D000440,33208066
DMSO,D004121,33208066
methanol,D000432,33208066
chloroform,D002725,33208066
ATP,D000255,9783168
malate,C030298,9783168
atp,D000255,9783168
succinate,D019802,9783168
glucose,D005947,9783168
Lignocellulose,C036909,34669438
lignin,D008031,34669438
carbon,D002244,34669438
glucose,D005947,34669438
azo dyes,D001391,32617733
metal,D008670,32617733
1-hydroxybenzotriazole,C011852,32617733
Methyl Orange,C100258,32617733
ectoine,C045628,29958498
hydroxyectoine,C121557,29958498
water,D014867,29958498
salt,D012492,35137260
sodium chloride,D012965,35137260
saline,D012965,35137260
chloride,D002712,35137260
hydrogen carbonate,D001639,35137260
sulfate,D013431,35137260
carbonate,D002254,35137260
Sodium carbonate,C005686,35137260
sodium sulfate,C012036,35137260
salts,D012492,35137260
Water,D014867,36000901
water,D014867,36000901
saline,D012965,36000901
sulfur,D013455,36000901
menadione,D024483,36000901
hydrogen peroxide,D006861,36000901
silver,D012834,36000901
uranium,D014501,36000901
arsenic,D001151,34389775
bauxite,D000537,35661272
NaCl,D012965,35661272
fatty acids,D005227,35661272
C15,C003946,35661272
meso-diaminopimelic acid,D003960,35661272
MK-7,C062629,35661272
menaquinone,D024482,35661272
diphosphatidylglycerol,D002308,35661272
phosphatidylethanolamine,C483858,35661272
phosphatidylglycerol,D010715,35661272
l-alpha-alanine,D000409,35238571
beta-alanine,D015091,35238571
phospholipids,D010743,36094301
water,D014867,36094301
lipoteichoic acid,C009900,36094301
ATP,D000255,36094301
FOS-choline-12,D002794,37577439
NADH,D009243,37577439
glycine,D005998,37577439
ammonium sulfate,D000645,38010865
30-60 C,C069837,38010865
Arsenic,D001151,31564490
arsenic,D001151,31564490
water,D014867,31564490
saline,D012965,34256694
water,D014867,34256694
iron,D007501,37681980
Fe3+,D007501,37681980
oxide,D010087,37681980
Fe2O3,D007501,37681980
Fe0,D007501,37681980
acetate,D000085,37681980
fumarate,D005650,37681980
Fe,D007501,37681980
6-carboxyfluorescein,C024098,9783169
sugars,D000073893,9783169
ethanol,D000431,9783169
glycerol,D005990,9783169
glucose,D005947,9783169
carbon,D002244,9783169
CO2,D002245,9783169
xylooligosaccharides,C570991,36131073
basic amino acid,D024361,9680297
glucose,D005947,9680297
teichuronic acid,C010788,9680297
teichuronopeptides,C065664,9680297
carbon,D002244,9680297
Cr,D002857,36149604
Chromium,D002857,36149604
Cr(VI),C074702,36149604
water,D014867,36149604
iron,D007501,36149604
chromium,D002857,36149604
salt,D012492,22327111
serine,D012694,22327111
agarose,D012685,22327111
IPTG,D007544,22327111
SDS,D012967,22327111
water,D014867,9783179
methane,D008697,9783179
carbon dioxide,D002245,9783179
L-alanine,D000409,9783179
carbon,D002244,9783179
carbonate,D002254,9783179
oxygen,D010100,9783179
carbon,D002244,33515353
Salt,D012492,35630403
salt,D012492,35630403
SDS,D012967,19002649
glycine,D005998,19002649
NaCl,D012965,19002649
alginate,D000464,19002649
water,D014867,31624306
Glycerol,D005990,29932648
glycerol,D005990,29932648
poly(vinyl alcohol),D011142,29932648
poly(ethylene glycol),D011092,29932648
water,D014867,36000998
arsenic,D001151,24903703
sulfide,D013440,24903703
O2,D010100,24903703
S,D013455,24903703
carbon,D002244,24903703
H2,D003903,24903703
As,D001151,24903703
saline,D012965,24903703
Water,D014867,31679078
water,D014867,31679078
phosphate,D010710,31679078
nitrate,D009566,31679078
Chlorine,D002713,36362210
chlorine dioxide,C025109,36362210
ClO2,D002713,36362210
oxygen,D010100,36362210
bauxite,D000537,24817611
alumina,D000537,24817611
Bauxite,D000537,24817611
carbon,D002244,24817611
arsenic,D001151,30485446
salts,D012492,30485446
water,D014867,30485446
agar,D000362,31938738
carboxymethylcellulose,D002266,9680321
lichenan,C015968,9680321
beta-1-3,,9680321
cellotetraose,C048468,9680321
saline,D012965,35652980
NaCl,D012965,35652980
polyhydroxyalkanoate,D054813,36572161
PHA,C568742,36572161
catechol,C034221,36572161
carbon,D002244,14991423
Glucose,D005947,14991423
acetate,D000085,14991423
lactate,D019344,14991423
leucine,D007930,14991423
NaCl,D012965,38225962
phosphorous,D010757,38225962
CO2,D002245,26263620
carbon,D002244,26263620
Polyhydroxyalkanoates,D054813,34322108
PHAs,D054813,34322108
CO2,D002245,34322108
carbon,D002244,34322108
azo dye,D001391,28255636
methyl red,C008492,28255636
azo dyes,D001391,28255636
MR,C008492,28255636
salt,D012492,28255636
NaCl,D012965,28255636
indigo,D007203,30105570
Indigo,D007203,30105570
indigo carmine,D007203,30105570
NADH,D009243,30105570
Lipid,D008055,32155764
ether,D004986,32155764
lipids,D008055,32155764
phospholipids,D010743,32155764
lipid bilayers,D008051,32155764
water,D014867,32155764
Carbonate,D002254,37819713
carbonate,D002254,37819713
Phosphonate,D063065,37987855
methane,D008697,37987855
orthophosphate,D010710,37987855
nitrogen,D009584,37987855
iron,D007501,37987855
Saline,D012965,26171779
saline,D012965,26171779
salt,D012492,26171779
NaCl,D012965,26171779
water,D014867,35021589
sulfate,D013431,35384246
water,D014867,35384246
lipid,D008055,35384246
selenite,D020887,33799130
selenium,D012643,33799130
Se,D012643,33799130
water,D014867,33799130
saline,D012965,33799130
agar,D000362,19411423
fatty acid,D005227,16215773
fatty acids,D005227,16215773
lipopolysaccharide,D008070,33255932
glycolipid,D006017,33255932
lipid A,D008050,33255932
ATP,D000255,20703955
tryptophan,D014364,20703955
8-anilino-1- naphthalene sulfonate,C515594,20703955
saline,D012965,22350256
chromium,D002857,22350256
iron,D007501,22350256
metal,D008670,22350256
salt,D012492,11589226
oxygen,D010100,11589226
metal,D008670,34777269
saline,D012965,34777269
salt,D012492,26159877
serine,D012694,26159877
ammonium sulfate,D000645,26159877
CaCl2,D002122,26159877
NaCl,D012965,26159877
diethyl ether,D004986,26159877
benzene,D001554,26159877
toluene,D014050,26159877
chloroform,D002725,26159877
hydrogen peroxide,D006861,26159877
carbonate,D002254,30231921
salt,D012492,30231921
carbon,D002244,30231921
sulfur,D013455,30231921
nitrogen,D009584,30231921
chlorophyll,D002734,24281914
