Diseases,DiseasesID,Length,PMID
Alcolapia alcalica excretes,D011507,1,[36250323]
Alcolapia retain,D018457 ,1,[36250323]
Alkaliphilic Bacillus,D000881,1,[9783168]
Alkaliphilic and alkali-tolerant fungi,D006934,1,[37367588]
Alkaliphilic bacteria,C537702 ,1,[26090360]
Alkaliphilic organisms,D019965 ,1,[30457468]
Alkaliphilic/Alkali-Tolerant Fungi,D006934 ,1,[37367588]
Antarctic Peninsula Region,D003424 ,1,[34228196]
Antarctic bacteria,C537702 ,1,[33255932]
Antarctic lichen Dermatocarpon polyphyllizum,D018459,1,[30282060]
C3 extremophile,C565169,1,[37667571]
CVDs,D002318 ,1,[33208066]
Cancer,D009369,2,"[22295871, 16808526]"
Cardiovascular Diseases,D002318 ,1,[33208066]
Chromoblastomycosis,D002862,1,[29538737]
Cold,D000067390 ,3,"[27900683, 32833498, 27209523]"
CotB anchor,C537277,1,[26026992]
Death,D003643 ,1,[26543264]
Extremophiles-Stress-High temperatures-UV radiation-Desiccation,D000079225,1,[28418707]
Extremophilic Actinomycetes Strains,D000193 ,1,[33977442]
Extremophilic Oxidoreductases,D054882 ,1,[34458243]
Extremophilic Yeast Yarrowia Lipolytica,D002181 ,1,[26859958]
Extremophilic actinomycetes,D000193,1,[33977442]
Extremophilic lipases,614025,1,[35688350]
Extremophilic microbial metabolism,D015163,1,[37839067]
Extremophilic organisms,D019965 ,1,[37490857]
F(1)F,102510,1,[21600188]
KPD,D003922 ,1,[36094301]
Klebsiella,D007710,1,[15064989]
Klebsiella enzyme,D007710,1,[19002649]
Leonardo di,D003643,1,[27283019]
MBC,D001943,1,[27891113]
Mauritia flexuosa palm,C535620,1,[30304581]
MotPS of alkaliphilic Bacillus,D000881 ,1,[27771767]
MotPS-type flagellar motor of alkaliphilic Bacillus alcalophilus AV1934,D000881 ,1,[27771767]
N-E Tunisia,D016751,1,[21555270]
Novel alkaliphilic,C000657245,1,[15322951]
P deficiency,C537241,2,"[26476701, 21974779]"
P stress,D000079225 ,1,[21974779]
Paraliobacillus quinghaiensis YIM-C158(T,D001260 ,1,[22297696]
Paraliobacillus ryukyuensis O15-7(T,D020754,1,[22297696]
Phosphorus deficiency,D010760 ,1,[21974779]
SDS,D000081003,1,[12910392]
SLAS-1(T,D049932,1,[19218420]
SRCD,D011832,1,[27351338]
Strain SLAS-1(T,D013180 ,1,[19218420]
Streptococcus thermophilus LMD-9 and Lactobacillus rhamnosus GG,C537267,1,[30701281]
Stress,D000079225,3,"[37490857, 28087527, 26909467]"
Stress-Tolerant Bacillus halotolerans Strain,D000079225,1,[34681129]
Stresses,D000079225 ,1,[35742848]
Toxicity,D064420 ,1,[28737704]
abiotic stress,D000079225,2,"[34256694, 31722266]"
abiotic stresses,D000079225 ,4,"[33925342, 35052375, 35742848, 24214268]"
acidic solfatara,D011015,1,[24414409]
acidophilic Acidiphilium,D000239 ,1,[19411423]
acute myocardial infarction,D009203 ,1,[33208066]
alarming rise,D051270,1,[27362528]
algal blooms,D001816,1,[35384246]
alkali stresses,D000079225 ,1,[22583823]
alkali-halotolerant,D006934,1,[35661272]
alkali-thermotolerant,D006934,1,[27737605]
alkali-tolerant filamentous fungi,D006934 ,1,[20703955]
alkaliphilic Bacillus,D000881,6,"[9783164, 9680303, 10805564, 19411423, 11878564, 10972188]"
alkaliphilic Bacillus YN-2000,D000881,1,[9672682]
alkaliphilic S,D018455,1,[28478604]
alkaliphilic actinomycetes,D000193 ,1,[22327111]
alkaliphilic adaptation,D018489 ,1,[30457468]
alkaliphilic bacillus,D000881,1,[11057913]
alkaliphilic bacteria,C537702,5,"[33123748, 26090360, 33030592, 15127306, 20344941]"
alkaliphilic bacteria and alkalitolerant fungi,C537702 ,1,[28478604]
alkaliphilic bacterial genera,D016920,1,[23609187]
alkaliphilic fungus,D009181 ,1,[28478604]
alkaliphilic glycosyl hydrolase,C531854,1,[20703955]
alkaliphilic lipases,614025,1,[35688350]
alkaliphilic metabolism,D008659 ,1,[33030592]
alkaliphilic microbial,D015163,1,[30796504]
alkaliphilic or psychrophilic bacteria,C537702,1,[16770690]
alkalithermophilic bacteria,C537702,1,[9783173]
blooms,D001816,2,"[37987855, 35384246]"
cancer,D009369,1,[31734456]
cerebral phaeohyphomycosis,D060425 ,1,[29538737]
chemolithoautotrophic genus Acidithiobacillus,D056304,1,[23708551]
chemolithoautotrophic iron reducer,C536418,1,[37520367]
chromoblastomycosis,D002862 ,1,[29538737]
cold,D000067390 ,4,"[27900683, 33925342, 22297696, 20373120]"
cold active thermophilic and psychrophilic lipases,D000067390 ,1,[35688350]
cold-active alkaliphiles,D000067390 ,1,[16770690]
conidial swelling,D004487,1,[27871132]
cytotoxicity,D064420 ,1,[36094301]
death,D003643,3,"[33208066, 38285274, 27891113]"
decrease of alkaliphilic tolerance,D018149 ,1,[33123748]
deep Antarctic,D057887,1,[18622572]
deep-sea cold,D000067390 ,1,[16642262]
deep-sea psychrophilic,D009041 ,1,[12910392]
dehydrated thallus of the Antarctic,D003681 ,1,[28000023]
dehydration,D003681 ,5,"[33925342, 29958498, 31624306, 22830585, 27061088]"
depression,D000275,2,"[35398716, 24859438]"
desiccation stress,D000079225,1,[35190857]
dry matter,D015352,1,[30897508]
dryness,D014987,5,"[26733008, 36414646, 38285274, 30485446, 26543264]"
exceptions extremophilic bacteria,C537702,1,[8688447]
exclusive haloalkaliphilic,C580202 ,1,[36937286]
extremophile actinomycetes,D000193,1,[30863668]
extremophile bacteria,C537702,1,[33255932]
extremophile nematodes,D009349,1,[31564490]
extremophile viviparous nematode,D009349 ,1,[37427410]
extremophilic algal strain Galdieria sulphuraria,D013180,1,[35021589]
extremophilic bacteria,C537702,2,"[29958498, 31025057]"
extremophilic conditions,D000071069,1,[37982082]
extremophilic lipases,614025,1,[35688350]
extremophilic organisms,D019965 ,1,[15046570]
