Genes,GeneIDs,Length,PMID
AP,13916924,1,[12072958]
Caspase-1,834,1,[22295871]
Chl,91851,1,[31679078]
Ikka,1147,2,"[16770690, 27900683]"
L-1,16728,1,[28045976]
NapB,63908,1,[19050822]
Ndh-2,1660,1,[37577439]
ORF-1,1115973,1,[11057908]
ORF-4,1115988,1,[11057908]
PEP,828706,1,[31338597]
PH,5053,1,[27276261]
PIP1,856754,1,[34256694]
PRB,10536,1,[36916005]
Rhbg,57127,1,[36250323]
TAK,1025,1,[34093984]
acid 1,81857,1,[16808526]
alkaline phosphatase,13916924,2,"[22212656, 12072958]"
caspase-1,834,1,[22295871]
fog,161882,1,[24927538]
hMDH,4191,1,[12382117]
interleukin-1beta,3553,1,[22295871]
mL-1,16728,1,[28045976]
neuraminidase,4758,1,[33977442]
osteocalcin,12097,1,[30400922]
pH,5053,1,[26025020]
protein B,10536,1,[36916005]
sea,6395,1,[20091326]
spa,653509,1,[24430481]
tap,10482,1,[32533304]
vma3,856686,1,[9783169]
