"Chemicals","ChemicalsID","PMID","PMCID","Sentences"
"water","D014867",32533304,7347518," While many studies have investigated microorganisms in the air and dust, tap water, another major input of microbial propagules, has received far less attention.;  The quality of drinking water in developed world is strictly regulated to prevent immediate danger to human health.;  These organisms can thus use water as a vector of transmission into the households, especially if they are resistant to various water treatment procedures.;  Limitation of water availability, high or low temperatures, application of antimicrobial chemicals and other measures are taken to prevent indoor microbial overgrowth.;  As a result, microorganisms that often enter our households with water and are then enriched in novel indoor habitats might have a hitherto underestimated impact on the well-being of the increasingly indoor-bound human population.;  Clean and safe water is an indispensable resource that is becoming increasingly scarce as the world population is growing, consumption as well as pollution is going up, urbanisation is spreading and mega cities became the new ecological reality.; Microorganisms enter buildings with outdoor air, soil, water, living plants and different food products as well as other humans and pets (Weikl et al. 2016; Jayaprakash et al. 2017; Shan et al. 2019; Cooper 2010).;  Comparatively little has been published on microbes in domestic water sources or in wet or humid domestic environments such as kitchens, bathrooms and domestic appliances, containing or operating with water.;  Indoor water-borne microorganisms are not confined only to bathrooms and kitchens but can also populate tap water systems and household appliances, in which they can be attracted to certain chemicals and plastic or rubber surfaces.; Research on water-related indoor microorganisms so far mostly focused on bacteria important for human health (Larsen et al. 2010).;  The diversity of these fungal “water-biomes” turned out to be dominated by polyextremotolerant, oligotrophic species, some of which are opportunistic human pathogens, representing a potential health problem that became widely recognised only in the last years (Zalar et al. 2011; Hamada and Abe 2010; Lian and de Hoog 2010; Defra 2011; Fouquier et al. 2016).; Before being suitable for water consumption, raw water originating from either surface water or groundwater is subjected to a variety of physico-chemical treatments in order to remove larger particles and microorganisms.;  The efficiency of removing microbes from raw water greatly depends on the combination of the cleaning techniques used and may vary between 8 and 99.99% (WHO 2011).;  Water for human consumption should not contain potentially harmful microorganisms or dangerous substances, making it necessary to control not only the input water quality, but also the formation of biofilms and increases of the microbial load in the distribution system.;  Since WHO follows microbiological trends and health problems on a global level, they list a large spectrum of microbial genera that are important for monitoring water quality and thus ensuring public health (WHO 2011).;  The mandatory microbiological parameters used for the determination of water quality in the EU are the presence of the bacteria Escherichia coli, Clostridium perfringens, Pseudomonas aeruginosa, coliforms and the total number of detectable aerobic microorganisms after incubation at 22 °C and 37 °C (EEC 1998).;  Enteric viruses and occurrence of oocysts and cysts belonging to the protozoa Giardia lamblia, Cryptosporidium spp. and Entamoeba hystolitica can also be used as additional indicators of water quality, recommended by WHO (WHO 2011).; Despite routine monitoring of several microbial parameters in water, these often do not cover spore-forming microorganisms and microbes aggregating in clumps.;  This can be seen as problematic, since such microorganisms are typically more resistant to the water treatment process and enter households via plumbing systems, where they are the cause of significant problems related to accumulation of biofilms and corrosion of materials.;  If present in large quantities, they also change the odour of water and may affect human health via toxin production (Novak Babič et al. 2017a, b).;  Due to the need for light, algae can be found in the upper layers of natural water sources, particularly in lakes and rivers with low water flow (Wurzbacher et al. 2011).;  Some algal species belonging to the genera Scenedesmus, Euglena, Anacystis, Coelastrum, Prototheca and Chlorococcum can be found in tap water systems, despite chlorination, and can survive without light (Defra 2011).;  Algae in tap water systems are particularly problematic as reservoirs of certain bacteria (e.g.;  According to the WHO, algae producing toxins, and those causing bad taste or odour, should be absent from tap water (WHO 2011).;  Species that can form oocysts represent particular problems, since they are less sensitive to water chlorination (Valster 2011).;  According to the WHO Acanthamoeba spp., Cryptosporidium hominis, C. parvum, Cyclospora cayetanensis, E. histolytica, Giardia intestinalis and Naegleria fowleri should be absent from water.; The least investigated group of eukaryotes with poorly understood roles in the water microbiome are fungi.;  Biofilms in tap water systems may contain up to 8.9 CFU/cm2 of yeasts and 4.0–25.2 CFU/cm2 of filamentous fungi (Doggett 2000).;  A great variety of fungi was detected in drinking water either by culture-dependent or molecular methods (e.g. with metagenome of amplicon sequencing).;  Their diversity significantly depends on the source of raw water (Moat et al. 2016; Novak Babič et al. 2017a, b).;  Water from surface water sources is dominated by plant-degrading fungi of the genera Acremonium, Altenaria, Arthrinium, Aspergillus, Beauveria, Botrytis, Cladosporium, Cryptococcus, Epicoccum, Fusarium, Geotrichum, Gliocladium, Mucor, Paecilomyces, Penicillium, Phoma, Rhizopus, Rhodotorula, Sporothrix and Trichoderma.;  Yeasts Candida spp., Cystobasidium spp. and black yeast-like fungi Aureobasidium, Cladophialophora, Cyphellophora, Exophiala, Phialophora and Rhinocladiella are more often found in water originating from the groundwater (Novak Babič et al. 2017a, b).;  Due to the lack of information linking clinical infections and the fungal presence in drinking water, fungi are not yet considered an independent parameter in water regulations.;  However, their presence in drinking water can alter the taste and odour of water, while in higher numbers they can impair human health causing allergies, asthma and superficial infections of hair, skin and nails (Defra 2011; Novak Babič et al. 2017a, b).; Bacteria are the most numerous microorganisms in tap water and biofilms of the water distribution system.;  In inappropriately treated water sources, after natural disasters or due to faults in water supply systems, the number of pathogenic bacteria involved in infections of the digestive and respiratory tract can exceed the prescribed safe limits (Percival et al. 2014).;  The most problematic bacteria potentially found in tap water according to WHO are Vibrio cholerae, Salmonella typhi, Shigella spp., Campylobacter jejuni, E. coli, Yersinia enterolitica, Legionella spp., Aeromonas spp., Mycobacterium spp., Bacillus spp. and P. aeruginosa (WHO 2011; EEC 1998).;  However, the presence, diversity and ecological interactions of water-borne bacteria remain poorly investigated and understood.;  The number of bacteria reaches its lowest limits in water tanks after treatment procedures (e.g. chlorination), while in tap water the number of bacteria increases again due to the presence of biofilms in plumbing systems (Kormas et al. 2010).;  Thus, the numbers of CFU in groundwater can be up to 106 CFU/mL, in well water up to 103 CFU/mL, in reservoir tanks after chlorination up to 102 CFU/mL and in household tap water between 102 and 105 CFU/mL (Kormas et al. 2010; Callewaert et al. 2015).;  Typical bacteria in ground and well water are Betaproteobacteria (Kormas et al. 2010).;  The same class is usually also dominant in cold water in the indoor plumbing system (Inkinen et al. 2016).;  In biofilms of the lower parts of the plumbing system (e.g. basement and first floor), in systems with regular water consumption and relatively high water flow, Alphaproteobacteria dominate over Betaproteobacteria (Inkinen et al. 2016).;  This is also true in copper pipes (Inkinen et al. 2016), while cross-linked polyethylene (PEX) pipes in combination with hot water appear to select for Betaproteobacteria, Gammaproteobacteria, Actinobacteria and Bacilli (Callewaert et al. 2015; Inkinen et al. 2016; Moat et al. 2016).; Microorganisms entering buildings via tap water become exposed to different physico-chemical factors, which shape the diversity of the communities in indoor habitats.;  Not only because water availability is often not constant (occasional desiccation triggers high levels of stress), but also due to other conditions.;  Showerheads, with their abundance of water, represent a challenge to microbes due to mechanical forces and water chlorination, two factors that presumably select for biofilm-forming species (Feazel et al. 2009) (Fig. ​(Fig.1).1).;  Biofilm formation, oligotrophicity, resistance to water treatment procedures, resistance to occasional desiccation and cleaning procedures are among traits promoting survival of water-related microbes indoors.;  Tap water distribution systems provide opportunities for microbial growth of adapted microorganisms.;  After entering the household with water, different habitats support the formation of many, in some cases very specific communities, shaped by the conditions of each habitat (such as shower heads or household appliances).;  In some cases, the enriched microorganisms leave the household in large numbers (e.g. with wastewater), possibly contaminating water sources and re-entering the households at a later time;  Opportunistic fungal pathogens are present also in residential buildings, where habitats with regular presence of liquid water (e.g. plumbing, sinks or drains) support active growth and accumulation of high biomass, while dry surfaces contain mostly species deposited from air and aerosols (Adams et al. 2013; Zalar et al. 2011).;  Exposure to microbes comes from handling and preparing food and from contact with kitchen surfaces that harbour microorganisms derived from food, water, air and humans (Medrano-Felix et al. 2011).;  Although outdoor and indoor air and water are known sources of microbial contamination of kitchens, human skin was found to be the primary source of bacteria belonging to the families Propionibacteriaceae, Corynebacteriaceae, Staphylococcaceae and Streptococcaceae (Flores et al. 2011; Flores et al. 2012).;  Diversity of bacterial communities of typical household kitchens was studied in detail only recently and it revealed that moist surfaces in kitchens usually yield the highest number of microbes due to the presence of water essential for microbial propagation (Sinclair and Gerba 2011; Flores et al. 2012).;  Next-generation sequencing (NGS) also revealed the presence of water-borne bacteria Acinetobacter johnsonii, A. pittii, A. ursingii, Chryseobacterium hominis and Moraxella osloensis belonging to the Biosafety Level 2 along with known biofilm producers of the genera Pseudomonas, Sphingomonas and Rhizobium (Table ​(Table1)1) (Cardinale et al. 2017).; The most common bacterial and fungal species reported from different water-related indoor habitats;  Recently, conducted studies suggested tap water as an important additional vector (Novak Babič et al. 2016b).;  Ubiquitous genera of filamentous fungi like Aspergillus, Cladosporium and Penicillium were present mainly on surfaces exposed to outdoor air (e.g. sills next to windows) (Adams et al. 2013), while moist surfaces in regular contact with water harboured yeasts from the genera Apiotrichum, Candida, Cryptococcus, Cystobasidium, Issatchenkia, Malassezia, Meyerozyma, Naganishia, Hyphopichia, Pichia, Rhodotorula, Trichosporon, Wickerhamiella and Wickerhamomyces, and black yeasts Aureobasidium, Capronia, Cyphellophora, Cladophialophora, Exophiala, Fonsecaea, Knufia, Phialophora and Rhinocladiella (Table ​(Table1)1) (Zupančič et al. 2016; Wang et al. 2018), many of which were previously reported also from tap water (Zupančič et al. 2016; Novak Babič et al. 2016b).; Isolation plates with fungi from different indoor habitats linked to water. a Filter paper covered with colonies of Aureobasidium melanogenum and Aspergillus spp. isolated from 1 l of drinking water on Dichloran Rose Bengal Agar with addition of chloramphenicol (DRBC+Ch). bFusarium oxysporum species complex (FOSC) isolated on Malt Extract Agar with addition of chloramphenicol (MEA+Ch).;  The major ones are tap water, human skin and oral biota, and faecal contamination (in case of coliform bacteria) (Ankola et al. 2009).;  Water-related bacteria are colonising interiors of water pipes and shower hoses and belong mainly to Alphaproteobacteria followed by Actinobacteria (Moat et al. 2016).; Similarly to bacteria, fungi colonising bathroom surfaces can also originate from tap water or skin.;  In the following studies, results confirmed the existence of a core mycobiota (Zupančič et al. 2016) and identified tap water as the main source of contamination of dishwashers with these fungi (Novak Babič et al. 2016b).;  It was confirmed that fungi from dishwashers can be present in hot aerosols, released immediately at the end of the washing cycle and in wastewater drained from the dishwashers (Zupančič et al. 2016).;  To evaluate water as the possible vector of contamination of dishwashers with bacteria, a metagenomic analysis of bacterial diversity in tap water was conducted.;  The study showed the dominance of Alphaproteobacteria and Betaproteobacteria in the water, while Actinobacteria and Firmicutes were present in much lower numbers.;  Additionally, differences in temperature inside appliances result in condensate formation and thus a relatively constant source of water, while parts made of plastic and rubber facilitate microbial attachment and biofilm formation.;  Opportunistic pathogenic fungi belonging to the black yeasts Cyphellophora, Exophiala, Knufia, Rhinocladiella and Ochroconis were commonly isolated, in particular from rubber surfaces (Wang et al. 2018) and were additionally found, along with the genera Acremonium, Alternaria, Aspergillus, Candida, Cladosporium and Scopulariopsis on interior plastic parts and refrigerator ice and water dispensers (Table ​(Table1)1) (Fig. ​(Fig.2)2) (Altunatmaz et al. 2012).;  Thus, washing at low temperatures only reduces the number of live bacteria, both in water and on dirty clothes.;  Their diversity varied depending on the water type and skin microbiota of the users (Callewaert et al. 2015).;  However, their presence in washing machines causes persistent unpleasant odour due to bacterial degradation of detergents and other organic matter present on clothes and in the water and they are released into waste greywater, which exits the washing machines (Munk et al. 2001; Stapleton et al. 2013; Callewaert et al. 2015).;  Most fungi isolated from washing machines entered via tap water.; Besides water availability, microbial colonisation is determined by the nutritional substances that can be derived from the building materials or environment (Gorny 2004), the presence of specific chemicals, such as surfactants from soap and shampoo (Hamada and Abe 2010) or from co-occurring microbial species.;  The hot spots of these microorganisms are not so much the surfaces touched and contaminated by humans or animals, but much more the habitats with high availability of liquid water.;  These are also used in products designed to be in prolonged contact with water—water pipes, rubber seals, faucet aerators and many others.;  Bacterial biofilms on stainless steel were reported to be thinner and easier to remove than those found on polyethylene, which contained a higher proportion of viable bacteria—an important consideration when for example choosing the material of a kitchen sink, but also of tap water piping systems, where the formation of biofilms is linked with numerous problems impacting the safety of tap water.; Another widely used material, providing a better surface for microbial attachment, is rubber, which is widely used to seal contacts between components of systems and appliances that need to be water-tight.;  In the investigation of materials used in tap water piping systems, rubber turned out to be by far the most problematic material in terms of biofilm formation (Szczotko et al. 2016).;  After the visible foaming pollution in streams and wastewater treatment plants in the 1940s and 1950s, more degradable compounds were produced and in many regions the use of biodegradable detergents is now obligatory by law.;  Many surfactants degrade even before reaching the wastewater treatment plant (Cowan-Ellsberry et al. 2014; Merrettig-Bruns and Jelen 2009).;  Microorganisms can also grow in the soap water with which we wash them from our skin or objects.;  Fungi that successfully infect a human body have to overcome several obstacles, such as high temperature (Robert and Casadevall 2009), oxidative bursts of human phagocytes and severe iron limitation (Hamad 2008; Kumamoto 2008), and low water activity and low pH in case of skin penetration (Elias 2007).;  Perhaps one of the most obvious examples is Pseudomonas aeruginosa, a bacterium also tightly connected to habitats with good accessibility of water, such as faucets and drains.;  While some of these traits are known for Candida spp., Fusarium oxysporum (FOSC) and F. solani complexes (FSSC), all of these are characteristic for the black yeast E. dermatitidis, dominant fungus in dishwashers around the world (Zalar et al. 2011; Lavrin et al. 2020), and A. melanogenum prevailing in tap water (Novak Babič et al. 2016b, 2017a).; Polyextremotolerant species use various mechanisms to overcome starvation, both in nature and in oligotrophic indoor water-related environments.;  Greater numbers of susceptible hosts, improved diagnostics and recognition of water-related indoor microbiomes and changes of our lifestyle have all been proposed as reasons for this trend (Casadevall et al. 2011; Gostinčar et al. 2011, 2015).; Good personal hygiene practices, proper hygiene of household surfaces and regular maintenance of household appliances can substantially lower the presence of indoor water-related microorganisms and can prevent most infections (Flores et al. 2012).; Microbiological analyses of water quality are typically limited to certain standard procedures and regulations, which are often outdated even before they are even generally accepted by international and national regulating bodies.;  These can be present in disinfected water, in long-lived biofilms inside the plumbing systems, inside household appliances and on other surfaces, particularly in kitchens and bathrooms.;  Here, microorganisms do not just persist, but may spread further within the household, survive wastewater treatments and return to the environment, potentially creating a microbial vicious circle.; Microorganisms are introduced into domestic appliances via water, air, dishware, food, hands and clothes.;  These biofilms can be established on interior materials due to the constant presence of water, either entering the appliance from the tap water distribution system or condensing on the surface.;  Biofilms contain high concentrations of microbial cells, which can be sporadically released as aerosols into the air or as individual planktonic cells or clumps of cells into the water.; Two modes of adaptation can be recognised in microorganisms inhabiting humid indoor habitats (water, wet cells and household appliances).; The present studies show that water is an important source of exposure to environmental microorganisms in domestic environments and that the selection of water-borne microorganisms during water treatment and upon entering the generally inhospitable indoor environment favours species with a higher virulence potential.;  While the number of studies supporting this observation is steadily increasing, more epidemiological and experimental approaches are needed to further elucidate the role of the domestic water microbiome in human health."
"arsenic","D001151",26733008,4679917," HAAL proved to be a rich source of microbes showing interesting adaptations to life in extreme settings (poly-extremophiles) such as alkalinity, high concentrations of arsenic and dissolved salts, intense dryness, large daily ambient thermal amplitude, and extreme solar radiation levels.;  Current projects heading this way have yielded detailed molecular information and functional proof on novel extremoenzymes: i.e., DNA repair enzymes and arsenic efflux pumps for which medical and bioremediation applications, respectively, are envisaged.; At the lakes themselves, salt contents, pH, and arsenic concentration (Table ​(Table1)1) can reach extreme values, generating niches where extremophilic microorganisms develop.;  The most common oxidation states for soluble arsenic in nature are the pentavalent, arsenate [As(V)], and the trivalent arsenite [As(III)], present as (AsO4−3) and (As(OH)3), respectively, (Rosen, 2002; Anderson and Cook, 2004)—As(III) being much more toxic than As(V) (Mukhopadhyay, 2002; Rosen, 2002; Oremland and Stolz, 2003).;  Even though HAAL are pristine environments, they display a high concentration of arsenic in the water due to natural geochemical phenomena and active volcanism (Flynn et al., 2002; Smedley and Kinniburgh, 2002; Mantelli et al., 2003; Romero et al., 2003; Escudero et al., 2007; Dib et al., 2008; Escalante et al., 2009; Ordoñez et al., 2009).;  Endogenous and exogenous agents, such as meteorological effects on the soil, and the circulation of subterranean water and wind, distribute arsenic through the atmosphere, soil and water (Lara et al., 2012).;  Ascotan, arsenic concentrations in brine sediments range between 610 and 9440 mg kg−1 (Escudero et al., 2013).;  Such arsenic accumulation significantly exceeds the maximum amount accepted by the World Health Organization (10 μg L−1) and is also greater than the one reported for Lake Mono (200 μM HAsO4−2, approximately 19.8 mg L−1 As0), a hypersaline and alkaline water body (Oremland et al., 2005) in which indigenous microbes and their interaction with As have been widely studied (Wolfe-Simon et al., 2011; Reaves et al., 2012).;  The water were stromatolites develop is alkaline, hypersaline, rich in inorganic nutrients, very rich in arsenic, and warm (20–24°C) due to a hydrothermal input.;  Partially submerged calcareous formations (microbialites) thrived outstanding chemical hamper including pH up to 11 and poisoning arsenic concentrations (115–234 mg/L).;  The metabolic potential of these biofilms was explored specially for arsenic metabolism; Rascovan et al. (2015) hypothesized that DLRB employ different metabolic strategies in response to environmental changes.;  Using these samples, strain isolation programs were guided toward specific taxonomic groups, microbial resistances or characteristics, such as their remarkable resistance to high salinity, UV-B irradiation, antibiotics (ATBs), oxidative stress and arsenic levels (Fernández Zenoff et al., 2006; Dib et al., 2008, 2009; Farías et al., 2009; Flores et al., 2009; Ordoñez et al., 2009).;  On the other hand, isolated bacteria from HAAL with arsenic resistance phenotypes were described by Dib et al. (2008).;  The majority of these genes are devoted to the resistance of arsenic, chromium, and fluoroquinolones, with 18 genes devoted to multidrug resistance efflux pumps.; Through a proteomic approach, Belfiore et al. (2013) described the proteins involved in the arsenic resistance process of another model extremophile isolated from L.;  The comparative analysis of S17, exposed and unexposed to arsenic—As(V) and As(III)—revealed 25 proteins differentially expressed.;  Under arsenic stress, proteins involved in energy-metabolism, stress, transport, and in protein synthesis were noticeably up-regulated.;  S17 was likewise obtained, emphasizing the fact that it contains a complete DNA repair system, including UvrABC, MutL-MutS, and bacterial photolyase, and several genes related to toxic compound resistance, such as antibiotics, arsenic, cadmium, and mercury (Ordonez et al., 2013).;  Genomic comparisons with available public genomes from Exiguobacterium suggests that one of the reasons behind high resistance to arsenic in S17 is the presence of the acr3 gene, a known contributor to cell detoxification against arsenite, one of the most toxic arsenic species (Ordoñez et al., 2015).; Three novel arsenic resistant strains of Salinivibrio spp. (up to 200 mM As), NaCl (up to 15%), and UV-B radiation (19 kJ/m2) isolated from different niches of L.;  Among many putative systems related with multiple-stress resilience, the three draft genomes displayed genes related with osmotic stress, DNA repair, arsenic detoxification systems, hydrolytic enzymes, ferredoxins, flavodoxins, proteorhodopsins, and xanthorhodopsins.;  However, these have been shown to be consistently extreme all along the whole Puna-Altiplano region, with values as high as a monthly mean UV Index above 19, UV erythemal daily doses above 10 kJ m−2, total solar irradiances close to the solar constant, daily total horizontal insolation of about 6.6 kW h m−2, intense dryness and large daily ambient thermal amplitude, together with the exposure to a multitude of chemicals and physical stresses, including alkalinity, high concentrations of arsenic and dissolved salts, and dust and ashes from volcanic activity.;  Ver3 (Albarracín et al., 2014), and an arsenical resistance efflux pump from Exiguobacterium sp."
"salts","D012492",26733008,4679917," HAAL proved to be a rich source of microbes showing interesting adaptations to life in extreme settings (poly-extremophiles) such as alkalinity, high concentrations of arsenic and dissolved salts, intense dryness, large daily ambient thermal amplitude, and extreme solar radiation levels.;  However, these have been shown to be consistently extreme all along the whole Puna-Altiplano region, with values as high as a monthly mean UV Index above 19, UV erythemal daily doses above 10 kJ m−2, total solar irradiances close to the solar constant, daily total horizontal insolation of about 6.6 kW h m−2, intense dryness and large daily ambient thermal amplitude, together with the exposure to a multitude of chemicals and physical stresses, including alkalinity, high concentrations of arsenic and dissolved salts, and dust and ashes from volcanic activity."
"O2","D010100",26733008,4679917," The modern stromatolites and other microbialites discovered recently at HAAL are highlighted, as they provide unique modern—though quite imperfect—analogs of environments proxy for an earlier time in Earth's history (volcanic setting and profuse hydrothermal activity, low atmospheric O2 pressure, thin ozone layer and high UV exposure).;  The elements that help support this assertion are the volcanic setting and profuse hydrothermal activity, low atmospheric O2 pressure, thin ozone layer, and high UV exposure (Demergasso et al., 2003; Cabrol et al., 2007)."
"ozone","D010126",26733008,4679917," The modern stromatolites and other microbialites discovered recently at HAAL are highlighted, as they provide unique modern—though quite imperfect—analogs of environments proxy for an earlier time in Earth's history (volcanic setting and profuse hydrothermal activity, low atmospheric O2 pressure, thin ozone layer and high UV exposure).;  Moreover, the total vertical column of atmospheric ozone typically has its lower normal values over the equatorial and tropical regions, with less variability with respect to mid-latitudes and Polar Regions (Bais et al., 2007).;  The elements that help support this assertion are the volcanic setting and profuse hydrothermal activity, low atmospheric O2 pressure, thin ozone layer, and high UV exposure (Demergasso et al., 2003; Cabrol et al., 2007)."
"PacC","C406277",37367588,10301932," In both biological models, the PacC transcription factor activates the Pal/Rim pathway through two successive proteolytic mechanisms.;  PacC is a repressor of acid-expressed genes and an activator of alkaline-expressed genes when it is in an active state.; The pH-dependent signaling system involving the transcription factor PacC/Rim101, which is proteolytically activated by the Pal/Rim signaling pathway, is one of the most thoroughly investigated alkali gene-regulating strategies to modulate metabolism in fungi when grown in alkaline conditions.;  PacC/Rim101 transcription factor activation activates genes related to alkaline stress and inhibits genes related to growth in the presence of acidic pH [12]. This review aims to synthesize information regarding alkaliphilic and alkali-tolerant fungi, their adaptation mechanisms, related signaling cascades, and the biotechnological significance of the enzymes that can be produced under this stress.; pH is regulated by a signal transduction pathway that leads to the proteolytic activation of a zinc finger transcription factor called PacC [38,39] (Figure 3).;  PacC72 possesses 674 amino acids [40,41] and undergoes post-translational modifications when extracellular pH is neutral or alkaline.;  PacC72 acquires a closed conformation at acidic pH, which is maintained by the interaction of a C-terminal domain with two upstream domains, thereby preventing proteolytic processing.;  When the pH signal is received, the protein conformation changes to an open state [42]. PacC72 contains a “signaling protease box” that removes roughly 180 C-terminal residues, resulting in ∼495 residues (PacC53) [43]. PacC undergoes a second processing step in which an additional ∼245 C-terminal residue is removed, resulting in the ∼250 residues (PacC27) [40,43,44]. This second proteolysis reaction is pH-independent [43]. PacC27 inhibits acid-expressed genes while activating alkaline-expressed genes [45]. The PacC27 form exposes the DNA-binding domain (DBD) containing three Cys2His2 zinc fingers (core consensus: 5-GCCARG) [45] that is sufficient to drive preferential nuclear localization [46,47]. PacC27 and PacC53, but not PacC72, exhibit marked nuclear localization preference [47]. Finger 1 interacts with finger 2 instead of DNA, whereas residues within fingers 2 and 3 interact with target DNA [41,46,48].; Signal transduction pathway for the activation of the Rim101/PacC transcription factor.; Ascomycota’s Pal/Rim pathway comprises six gene products: Rim21/PalH, Rim8/PalF, Rim20/PalA, Rim13/PalB, Rim23/PalC, and Rim9/PalI [37,38,39,49,50,51]. The products of six genes, palA, palB, palC, palF, palH, and palI, transmit the alkaline extracellular pH signal to PacC [38,39]. Null mutations in any of the six pal genes of the pH signal transduction pathway and in pacC have an acidity-mimicking phenotype [38,39].;  In addition, PalC binds to Endosomal Sorting Complex Required for Transport-III (ESCRT-III) Snf7p/Vps32, indicating a potential role as a link between the upstream and downstream pH signaling complexes [55]. Although multiple studies associate pH signaling proteins with endocytosis, Lucena-Agell et al. (2015) [56] demonstrated by endocytosis block that PacC processing is not significantly affected, indicating that pH signaling proteins probably do not require endocytosis.; pH signal transduction requires that the PalA protein binds to two YPXL/I motifs located at either side of the signaling protease box in PacC72, where Tyr, Pro, and Leu/Ile are crucial for its interactive properties, required for the pH-regulated cleavage of this transcription factor [57]. PalB, a cysteine protease of the calpain family, is probably the signaling protease that causes the first proteolytic processing of PacC72 but not the second proteolytic processing [58].;  The genome of the alkaliphilic fungus Sodiomyces alkalinus was sequenced (BioSample: SAMN02745840) [64], and the UniProt annotation [65] shows that this fungus presents practically all the Pal pathway genes (PalI, PalH, PalF, PalC, PacC)."
"poly","C017937",37317247,10223213," Therefore, extremophilic microorganisms offer enormous opportunities for practical biodegradation processes as they are naturally adapted to multi-stress conditions due to the special structure of their cell wall, capsule, S-layer proteins, extracellular polymer substances (EPS), and siderophores structural and functional properties such as poly-enzymes produced.; Additives used in the textile industry lead to the formation of refractory intermediates which are toxic pollutants such as polycyclic aromatic hydrocarbons (PAHs) and aromatic amines [12,13]. Under highly saline conditions in dye effluents, the degradation of PAH occurs slowly.;  However, many extremophilic bacteria belong to two or more categories and are known as polyextremophiles [33]. Some studies have highlighted the benefits of extremophilic and polyextremophilic microorganisms in biotechnology and bioremediation.;  Biological approaches using polyenzyme-producing extremophiles have shown great efficiency in the degradation of aerobic and anaerobic dyes [35]. Therefore, investigating well-adapted bacterial candidates under multiple stress conditions is a promising strategy for research and application for removing dyes from wastewater.;  The structure of cell wall polymers, which mainly consists of teichuronic acids and teichuronopeptides, also greatly contributes to maintaining pH homeostasis in the cytoplasm via a negatively charged matrix and reduces the pH value at the cell surface of alkaliphilic bacteria [46]. Alkaliphilic bacteria in pure cultures or consortia, such as Bacteroides spp., Eubacterium spp., Clostridium spp., Proteus vulgaris, Streptococcus faecalis, Bacillus spp., and Sphingomonas are effective azo dye-degrading candidates [38].;  In particular, bacterial peroxidases are preferred to fungal peroxidases because bacteria are more flexible during protein engineering to enhance catalyst activity [102]. Thermosediminibacter spp. have been investigated as promising candidates for the production of peroxidases (DyP), laccases, and azoreductases involved in dye decolorization [103]. Lignocellulosic biomass is currently considered not only an abundant renewable source for the production of biofuels and valuable bioproducts, but also a significant substrate or biosorbent for dye removal because of its eco-friendly nature and natural availability [9]. Lignin is one of three different polymers decomposed from lignocellulose and may be a suitable substrate for extremophilic lignin peroxidase-producing bacteria to enhance LiP production which contributes to the dye degradation process.; Agrowaste is considered an excellent substrate source for polyenzyme production in the fermentation process, eliminating hemicellulose, cellulose, and lignin [9,107]. Therefore, multi-enzyme-producing bacteria are potential candidates for various waste decompositions in the polypolluted form.;  However, studying these polyenzyme-producing extremophiles is more challenging because of the lack of knowledge about particular physiological features and molecular properties due to the change in their complex metabolic pathways under extreme environments.;  Additionally, understanding the changes in the metabolic pathways and physiological properties of polyenzyme-producing bacteria under harsh fluctuating environmental conditions may help in the discovery of novel enzymes and their potential functions."
"ammonium sulphate","D000645",31388592,6667821," After precipitation using ammonium sulphate followed by ion-exchange chromatography, the enzyme produced a specific activity of 25.1 (U/mg) with a purity of 6.5-fold of the crude extract.;  The enzyme purification was done using ammonium sulphate precipitation and anion exchange chromatography.; The crude enzyme was initially precipitated by ammonium sulphate with saturation levels of 0–20%, 20–40%, 40–60%, 60–80%, and 80–100% at a cold temperature (Scopes, 1987).; Anion exchange column chromatography (DEAE Sepharose Fast Flow) was employed to further purify the ammonium sulphate fraction showing the highest specific activity.; Precipitation of the crude extract with ammonium sulphate (60–80%) gave the highest purification level, with a specific activity of 13.7 U/mg and a purity of 3.6-fold of the crude enzyme.;  For example, ammonium sulphate precipitation followed by DEAE Cellulose Fast Flow chromatography of α-amylase from B. amyloliquefaciens BH072 give 4.2-fold purity and 39.1% yield (Du et al., 2018) while α-amylase from B. megaterium VUMB109 shows 6.97-fold purity and 85.6 % yield (Jana et al., 2013)."
"Ba2+","C080430",31388592,6667821,""
"Ca2+","D000069285",31388592,6667821,""
