Chemicals,ChemicalsID,Length,PMID
piperideine-6-carboxylic acid,C000061,2,"[14766586, 11717275]"
Prussian blue,C000170,2,"[31553036, 31553036]"
bikaverin,C000269,46,"[24291181, 24742071, 7770038, 29789359, 27474520, 18959154, 22713715, 29080998, 23465044, 33806727, 26382642, 17031002, 29204899, 22291883, 24036343, 23469152, 23469152, 31540008, 28441411, 33904328, 19838698, 12409099, 27642009, 20572938, 19400779, 35870224, 19047398, 19047398, 34455510, 35878165, 23177047, 22662164, 23543145, 27916854, 29763675, 20192838, 30365243, 22983595, 27869761, 24260467, 24636053, 24636053, 34947073, 15341646, 23605899, 1618447]"
bisnoryangonin,C000293,1,[35078584]
alpha-cedrene,C000393,3,"[31311515, 29848985, 28606152]"
ochratoxin alpha,C000426,4,"[30864381, 20003296, 37002431, 33137913]"
diazotized sulfanilic acid,C000469,2,"[12422510, 12422510]"
cinnabarinic acid,C000483,1,[32179171]
cladosporin,C000488,7,"[19422073, 26364643, 24199717, 22704625, 22704625, 28635658, 10514300]"
iron oxide,C000499,1,[32279319]
cyclonerodiol,C000539,2,"[32605151, 24878335]"
cyclopiazonic acid,C000543,69,"[24960201, 9713765, 30717215, 17464844, 25731032, 25109845, 28442441, 29674152, 26466873, 26466873, 32068947, 32068947, 33356862, 33929720, 24199717, 24199717, 29247055, 29247055, 26051490, 24951444, 28098779, 28098779, 28098779, 22567889, 21659486, 21659486, 18367279, 2268164, 12358494, 22393930, 10808488, 20447271, 20447271, 37478074, 29969379, 29969379, 29088078, 37666447, 29990635, 29023405, 12722658, 17084935, 29869954, 26729047, 11469319, 11469319, 11469319, 28447887, 28447887, 28582664, 28582664, 35997046, 35997046, 35997046, 34602399, 30099586, 31963878, 24116376, 32403244, 31456789, 34947037, 32117074, 24759001, 15508635, 35734115, 23605868, 37744124, 37126866, 37126866]"
Eryngiolide A,C000588481,1,[22769974]
Alternariol-5-O-methyl ether,C000588641,1,[23933238]
chenopodolan A,C000588948,1,[24211132]
chenopodolan B,C000588949,1,[24211132]
aucuparin,C000588997,2,"[30552373, 30552373]"
TCA,C000589078,5,"[36461385, 37482969, 37108952, 36736024, 36294657]"
pyrrocidine C,C000589148,1,[24189345]
hassallidin D,C000589200,1,[24742428]
5-AZA,C000589260,1,[37852387]
turnerbactin,C000589717,1,[24146831]
Blumenol A,C000589723,2,"[26715220, 28278617]"
polyozellic acid,C000589782,1,[24601669]
thelephoric acid,C000589783,1,[24601669]
2-methoxy-5-methyl-6-methoxymethyl-p-benzoquinone,C000589931,1,[22738079]
3-Methoxyflavone,C000590233,2,"[30262733, 30262733]"
heronamide F,C000590273,1,[35572650]
gageotetrin B,C000590589,1,[32425899]
sevadicin,C000590643,3,"[25069424, 24975930, 24975930]"
alpha-thujene,C000590711,1,[29848985]
brevianamide F,C000590722,13,"[36006216, 17464044, 26061478, 24532297, 31960351, 33806727, 30864381, 25744649, 33803611, 19373974, 33217921, 26975378, 26975378]"
acacetin-7-O-rutinoside,C000590794,1,[36520239]
