Gene,GeneID,Count,PMID
ADA,100,2,"[30086344, 30086344]"
CDH2,1000,3,"[37683805, 36976205, 26371759]"
cholinesterase,100033901,1,[25863020]
IFS1,100037450,1,[15356384]
PPT1,100037776,4,"[19880801, 26168137, 26168137, 26168137]"
lipoxygenase,100037803,2,"[19132874, 19132874]"
ZmLOX10,100037809,1,[28715485]
GmMYB29A2,100101837,1,[32209590]
CYP78A1,100126887,1,[10993158]
Hm2,100135421,1,[16839576]
pigA,100156880,1,[36410584]
Bcl-2-like protein 11,10018,2,"[29845223, 26871659]"
BX2,100192631,1,[10385992]
LAR2,100233112,2,"[32973337, 32973337]"
PAL,100251137,2,"[27656886, 27656886]"
serpin29,100272193,1,[33806171]
TI,100281057,2,"[19205484, 19205484]"
FB1-3,100282272,3,"[36006206, 23915226, 29258380]"
alpha-amylase,100283908,1,[29541880]
ascorbate peroxidase,100286773,2,"[37111926, 35898220]"
WAK,100304375,2,"[30178602, 30178602]"
All 1-5,100310785,1,[25913704]
MAPK,100381337,2,"[31627093, 31627093]"
CYP71C1,100382554,1,[11976964]
POD,100384480,1,[36175855]
miR-3131,100422957,1,[24528735]
hsa-miR-3613-,100500908,1,[37021806]
HvERF1/5,100505453,1,[27844244]
Occludin,100506658,2,"[18444159, 18444159]"
mucin,100508689,1,[25011108]
ovulation rate,100532570,1,[14506885]
ABC,10058,4,"[22536197, 24645852, 24645852, 22536197]"
PARP-1,100621034,1,[35888783]
Glb1,100736435,1,[37940862]
nitrate reductase,100736473,1,[37940862]
CAT,100773774,4,"[27465603, 26809139, 27465603, 26809139]"
CYP93B16,100783503,3,"[20132953, 20132953, 20132953]"
alpha-amylase,100792499,1,[24652711]
proteinase,100862683,1,[22404468]
high-affinity nitrate transporter,101027089,1,[37569319]
CYP3,10105,1,[20736090]
ha-1,101221783,1,[34314099]
PAL,101244220,6,"[37651951, 32410087, 32410087, 31280042, 37651951, 33374845]"
PPO,101258774,1,[37651951]
peroxidase,101503097,1,[27200003]
catalase,101513499,1,[27200003]
CDK,1017,4,"[25062475, 25062475, 22178684, 21225227]"
CDK4,1019,5,"[17516868, 25062475, 21225227, 15548174, 23682781]"
CDK6,1021,2,"[23682781, 22178684]"
CDK7,1022,2,"[32825344, 32825344]"
GAPDH,102577868,2,"[37610366, 37610366]"
StWRKY1,102583094,2,"[26417019, 29891775]"
phenylalanine ammonia lyase,102585026,1,[37372425]
StCCoAOMT,102586657,2,"[33141312, 33141312]"
StMet3-1,102593050,1,[7920699]
StMet3-2,102593763,1,[7920699]
Cip1,1026,5,"[23217280, 19293251, 23682781, 23682781, 17516868]"
cytochrome P450,102603857,1,[28786312]
Kip1,1027,2,"[19293251, 18362935]"
